id,paragraph_1,kg_1,paragraph_2,kg_2
0,"The drug sulbenicillin increases the efficacy of mivacurium, while decreasing the efficacy of demegestone. Penimepicycline enhances the efficacy of rocuronium but reduces the efficacy of sultamicillin and sulbenicillin. Rocuronium boosts the efficacy of amdinocillin and azidocillin, but it also has the side effect of injection site swelling. Additionally, flucloxacillin diminishes the efficacy of penimepicycline and has side effects like arthralgia and immune system disorder.","[[""sulbenicillin"", ""increases_efficacy_of"", ""mivacurium""], [""sulbenicillin"", ""decreases_efficacy_of"", ""demegestone""], [""penimepicycline"", ""enhances_efficacy_of"", ""rocuronium""], [""penimepicycline"", ""reduces_efficacy_of"", ""sultamicillin""], [""penimepicycline"", ""reduces_efficacy_of"", ""sulbenicillin""], [""rocuronium"", ""boosts_efficacy_of"", ""amdinocillin""], [""rocuronium"", ""boosts_efficacy_of"", ""azidocillin""], [""rocuronium"", ""has_side_effect"", ""injection_site_swelling""], [""flucloxacillin"", ""diminishes_efficacy_of"", ""penimepicycline""], [""flucloxacillin"", ""has_side_effect"", ""arthralgia""], [""flucloxacillin"", ""has_side_effect"", ""immune_system_disorder""]]","Sulbenicillin increases the efficacy of mivacurium, but decreases the efficacy of demegestone. Penimepicycline increases the efficacy of rocuronium, however it decreases the efficacy of sultamicillin and sulbenicillin. Flucloxacillin decreases the efficacy of penimepicycline and has side effects including arthralgia and immune system disorder. Rocuronium increases the efficacy of amdinocillin and azidocillin, but also has a side effect of injection site swelling.","[[""sulbenicillin"", ""increases_efficacy_of"", ""mivacurium""], [""sulbenicillin"", ""decreases_efficacy_of"", ""demegestone""], [""penimepicycline"", ""increases_efficacy_of"", ""rocuronium""], [""penimepicycline"", ""decreases_efficacy_of"", ""sultamicillin""], [""penimepicycline"", ""decreases_efficacy_of"", ""sulbenicillin""], [""rocuronium"", ""increases_efficacy_of"", ""amdinocillin""], [""rocuronium"", ""increases_efficacy_of"", ""azidocillin""], [""rocuronium"", ""has_side_effect"", ""injection_site_swelling""], [""flucloxacillin"", ""decreases_efficacy_of"", ""penimepicycline""], [""flucloxacillin"", ""has_side_effect"", ""arthralgia""], [""flucloxacillin"", ""has_side_effect"", ""immune_system_disorder""]]"
1,"The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. Protokylol increases the efficacy of etilefrine and histapyrrodine. Naphazoline decreases the efficacy of tolazoline, propafenone, and celiprolol. Nadolol increases the efficacy of exenatide and insulin aspart, but decreases the efficacy of moxonidine. Cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.",[],"The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Additionally, bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. On the other hand, protokylol increases the efficacy of etilefrine and histapyrrodine. The usage of naphazoline reduces the efficacy of tolazoline, propafenone, and celiprolol. Moreover, nadolol can increase the efficacy of exenatide and insulin aspart, but it decreases the efficacy of moxonidine. Lastly, cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.",[]
2,"Buthiazide increases the efficacy of glipizide and decreases the efficacy of verinurad and benzhydrocodone. Torasemide is affecting adducin 1 and has an indication for diuresis. Additionally, torasemide decreases the efficacy of mofebutazone. Estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin. Luseogliflozin decreases the efficacy of torasemide and estetrol, but increases the efficacy of buthiazide.",[],"The drug buthiazide can both increase the efficacy of glipizide and decrease the efficacy of verinurad and benzhydrocodone. Similarly, luseogliflozin can increase the efficacy of buthiazide. 

Torasemide is affecting adducin 1 and has an indication for diuresis. It also decreases the efficacy of mofebutazone.

On the other hand, estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin.",[]
3,"The compound 9-deazaguanine increases the activity of the hypotensive activities and decreases the efficacy of halazepam. Pinazepam increases the effect of neuropsychiatric effects, while decreasing the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity in the hyperkalemic activities and decreases the efficacy of delorazepam.",[],"The compound 9-deazaguanine is known to increase the activity of the hypotensive activities, while at the same time decreasing the efficacy of halazepam. Pinazepam has been shown to increase the effect of neuropsychiatric effects, but it decreases the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity related to the hyperkalemic activities, however, it decreases the efficacy of delorazepam.",[]
4,"Medazepam increases the neuropsychiatric effects, but decreases the efficacy of metronidazole and theobromine. Lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Additionally, 1,2-benzodiazepine's efficacy is decreased by pentoxifylline, doxofylline, and acefylline.","[[""Medazepam"", ""increases"", ""neuropsychiatric_effects""], [""Medazepam"", ""decreases_efficacy_of"", ""Metronidazole""], [""Medazepam"", ""decreases_efficacy_of"", ""Theobromine""], [""Lobucavir"", ""decreases_efficacy_of"", ""1,2-benzodiazepine""], [""Lobucavir"", ""decreases_efficacy_of"", ""Medazepam""], [""Lobucavir"", ""decreases_efficacy_of"", ""Doxefazepam""], [""Doxefazepam"", ""targets"", ""GABA(A)_receptor""], [""Doxefazepam"", ""has"", ""sedative_activities""], [""1,2-benzodiazepine"", ""efficacy_decreased_by"", ""Pentoxifylline""], [""1,2-benzodiazepine"", ""efficacy_decreased_by"", ""Doxofylline""], [""1,2-benzodiazepine"", ""efficacy_decreased_by"", ""Acefylline""]]","The drug medazepam decreases the efficacy of metronidazole, theobromine, and also reduces the neuropsychiatric effects. Additionally, lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Furthermore, 1,2-benzodiazepine decreases the efficacy of pentoxifylline, doxofylline, and acefylline.","[[""Medazepam"", ""decreases_efficacy_of"", ""Metronidazole""], [""Medazepam"", ""decreases_efficacy_of"", ""Theobromine""], [""Medazepam"", ""reduces"", ""neuropsychiatric_effects""], [""Lobucavir"", ""decreases_efficacy_of"", ""1,2-benzodiazepine""], [""Lobucavir"", ""decreases_efficacy_of"", ""Medazepam""], [""Lobucavir"", ""decreases_efficacy_of"", ""Doxefazepam""], [""Doxefazepam"", ""targets"", ""GABA(A)_receptor""], [""Doxefazepam"", ""has"", ""sedative_activities""], [""1,2-benzodiazepine"", ""decreases_efficacy_of"", ""Pentoxifylline""], [""1,2-benzodiazepine"", ""decreases_efficacy_of"", ""Doxofylline""], [""1,2-benzodiazepine"", ""decreases_efficacy_of"", ""Acefylline""]]"
5,"Andexanet alfa decreases the efficacy of several drugs including edetic acid, clorindione, and diphenadione. Diphenadione, in turn, increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Additionally, clorindione increases the efficacy of ketoconazole and nitroxoline.","[[""Andexanet_alfa"", ""decreases_efficacy_of"", ""edetic_acid""], [""Andexanet_alfa"", ""decreases_efficacy_of"", ""clorindione""], [""Andexanet_alfa"", ""decreases_efficacy_of"", ""diphenadione""], [""Diphenadione"", ""increases_efficacy_of"", ""levothyroxine""], [""Diphenadione"", ""decreases_efficacy_of"", ""pantothenic_acid""], [""Diphenadione"", ""decreases_efficacy_of"", ""formic_acid""], [""Cefacetrile"", ""decreases_efficacy_of"", ""dabigatran""], [""Edetic_acid"", ""decreases_efficacy_of"", ""cefpiramide""], [""Edetic_acid"", ""decreases_efficacy_of"", ""cefacetrile""], [""Edetic_acid"", ""decreases_efficacy_of"", ""rurioctocog_alfa_pegol""], [""Clorindione"", ""increases_efficacy_of"", ""ketoconazole""], [""Clorindione"", ""increases_efficacy_of"", ""nitroxoline""]]","Andexanet alfa decreases the efficacy of clorindione. Diphenadione increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Clorindione increases the efficacy of ketoconazole and nitroxoline.","[[""Andexanet_alfa"", ""decreases_efficacy_of"", ""clorindione""], [""Diphenadione"", ""increases_efficacy_of"", ""levothyroxine""], [""Diphenadione"", ""decreases_efficacy_of"", ""pantothenic_acid""], [""Diphenadione"", ""decreases_efficacy_of"", ""formic_acid""], [""Cefacetrile"", ""decreases_efficacy_of"", ""dabigatran""], [""Edetic_acid"", ""decreases_efficacy_of"", ""cefpiramide""], [""Edetic_acid"", ""decreases_efficacy_of"", ""cefacetrile""], [""Edetic_acid"", ""decreases_efficacy_of"", ""rurioctocog_alfa_pegol""], [""Clorindione"", ""increases_efficacy_of"", ""ketoconazole""], [""Clorindione"", ""increases_efficacy_of"", ""nitroxoline""]]"
6,"The drug Rimexolone increases the activity of the excretion rate, has an effect on electrolyte imbalance, and decreases the efficacy of Aminoglutethimide. Flurandrenolide causes the side effect of Contact Dermatitis. Aminoglutethimide decreases the efficacy of both Flurandrenolide and Hydrocortisone Aceponate, and targets the SN12K1. Hydrocortisone Aceponate decreases the efficacy of allogeneic processed thymus tissue.","[[""Rimexolone"", ""increases"", ""excretion_rate""], [""Rimexolone"", ""has_effect_on"", ""electrolyte_imbalance""], [""Rimexolone"", ""decreases"", ""Aminoglutethimide""], [""Flurandrenolide"", ""causes"", ""Contact_Dermatitis""], [""Aminoglutethimide"", ""decreases"", ""Flurandrenolide""], [""Aminoglutethimide"", ""decreases"", ""Hydrocortisone_Aceponate""], [""Aminoglutethimide"", ""targets"", ""SN12K1""], [""Hydrocortisone_Aceponate"", ""decreases"", ""allogeneic_processed_thymus_tissue""]]","Rimexolone increases the activity of the excretion rate and has the effect of causing electrolyte imbalance. It also decreases the efficacy of aminoglutethimide. Flurandrenolide leads to the side effect of contact dermatitis. Aminoglutethimide decreases the efficacy of both flurandrenolide and hydrocortisone aceponate, and targets sn12k1. Hydrocortisone aceponate further decreases the efficacy of allogeneic processed thymus tissue.","[[""Rimexolone"", ""increases"", ""excretion_rate""], [""Rimexolone"", ""has_effect_of"", ""electrolyte_imbalance""], [""Rimexolone"", ""decreases"", ""Aminoglutethimide""], [""Flurandrenolide"", ""leads_to"", ""contact_dermatitis""], [""Aminoglutethimide"", ""decreases"", ""Flurandrenolide""], [""Aminoglutethimide"", ""decreases"", ""Hydrocortisone_Aceponate""], [""Aminoglutethimide"", ""targets"", ""SN12K1""], [""Hydrocortisone_Aceponate"", ""decreases"", ""allogeneic_processed_thymus_tissue""]]"
7,"Hyodeoxycholic acid decreases the efficacy of norethisterone and gemfibrozil. It also has a target, UDP-glucuronosyltransferase 1-8. Lynestrenol reduces the efficacy of insulin detemir, procaine benzylpenicillin, and hyodeoxycholic acid. Insulin detemir has side effects such as eczema, fatigue, and diabetes mellitus. Procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and Vibrio cholerae CVD 103-HgR strain live antigen. Norelgestromin targets the androgen receptor and reduces the efficacy of lepirudin.","[[""Hyodeoxycholic_acid"", ""decreases_efficacy_of"", ""Norethisterone""], [""Hyodeoxycholic_acid"", ""decreases_efficacy_of"", ""Gemfibrozil""], [""Hyodeoxycholic_acid"", ""has_target"", ""UDP-glucuronosyltransferase_1-8""], [""Lynestrenol"", ""reduces_efficacy_of"", ""Insulin_detemir""], [""Lynestrenol"", ""reduces_efficacy_of"", ""Procaine_benzylpenicillin""], [""Lynestrenol"", ""reduces_efficacy_of"", ""Hyodeoxycholic_acid""], [""Insulin_detemir"", ""has_side_effect"", ""Eczema""], [""Insulin_detemir"", ""has_side_effect"", ""Fatigue""], [""Insulin_detemir"", ""has_side_effect"", ""Diabetes_mellitus""], [""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Desogestrel""], [""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Norelgestromin""], [""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Vibrio_cholerae_CVD_103-HgR_strain_live_antigen""], [""Norelgestromin"", ""targets"", ""Androgen_receptor""], [""Norelgestromin"", ""reduces_efficacy_of"", ""Lepirudin""]]","The medication procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and the Vibrio cholerae CVD 103-HgR strain live antigen.","[[""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Desogestrel""], [""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Norelgestromin""], [""Procaine_benzylpenicillin"", ""decreases_efficacy_of"", ""Vibrio_cholerae_CVD_103-HgR_strain_live_antigen""]]"
8,"The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Additionally, felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark while also having the side effect of causing tension.","[[""nafcillin"", ""decreases_efficacy_of"", ""demeclocycline""], [""nafcillin"", ""decreases_efficacy_of"", ""felodipine""], [""nafcillin"", ""decreases_efficacy_of"", ""seletracetam""], [""demeclocycline"", ""decreases_efficacy_of"", ""sulbenicillin""], [""seletracetam"", ""decreases_efficacy_of"", ""docusate""], [""seletracetam"", ""decreases_efficacy_of"", ""sulfate_ion""], [""felodipine"", ""decreases_efficacy_of"", ""deacetylbisacodyl""], [""felodipine"", ""decreases_efficacy_of"", ""frangula_purshiana_bark""], [""felodipine"", ""causes_side_effect"", ""tension""]]","The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark, while also causing the side effect of tension.","[[""nafcillin"", ""decreases_efficacy_of"", ""demeclocycline""], [""nafcillin"", ""decreases_efficacy_of"", ""felodipine""], [""nafcillin"", ""decreases_efficacy_of"", ""seletracetam""], [""demeclocycline"", ""decreases_efficacy_of"", ""sulbenicillin""], [""seletracetam"", ""decreases_efficacy_of"", ""docusate""], [""seletracetam"", ""decreases_efficacy_of"", ""sulfate_ion""], [""felodipine"", ""decreases_efficacy_of"", ""deacetylbisacodyl""], [""felodipine"", ""decreases_efficacy_of"", ""frangula_purshiana_bark""], [""felodipine"", ""causes_side_effect"", ""tension""]]"
9,"Tiotropium increases the effect of urinary retention and has the side effect of mouth ulceration. Additionally, tiotropium decreases the efficacy of magnesium. Emetonium iodide decreases the efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium, in turn, decreases the efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases the efficacy of pregabalin and lofexidine.","[[""Tiotropium"", ""increases"", ""urinary_retention""], [""Tiotropium"", ""has_side_effect"", ""mouth_ulceration""], [""Tiotropium"", ""decreases"", ""magnesium""], [""Emetonium_iodide"", ""decreases"", ""linaclotide""], [""Emetonium_iodide"", ""decreases"", ""magnesium_carbonate""], [""Emetonium_iodide"", ""decreases"", ""sodium_tartrate""], [""Magnesium"", ""decreases"", ""dihydroetorphine""], [""Magnesium"", ""decreases"", ""dimetindene""], [""Magnesium"", ""decreases"", ""emetonium_iodide""], [""Dihydroetorphine"", ""increases"", ""pregabalin""], [""Dihydroetorphine"", ""increases"", ""lofexidine""]]","Tiotropium decreases efficacy of magnesium and has a side effect of mouth ulceration, as well as decreasing the effect of urinary retention. Emetonium iodide decreases efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium decreases efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases efficacy of pregabalin and lofexidine.","[[""Tiotropium"", ""decreases"", ""magnesium""], [""Tiotropium"", ""has_side_effect"", ""mouth_ulceration""], [""Tiotropium"", ""decreases"", ""urinary_retention""], [""Emetonium_iodide"", ""decreases"", ""linaclotide""], [""Emetonium_iodide"", ""decreases"", ""magnesium_carbonate""], [""Emetonium_iodide"", ""decreases"", ""sodium_tartrate""], [""Magnesium"", ""decreases"", ""dihydroetorphine""], [""Magnesium"", ""decreases"", ""dimetindene""], [""Magnesium"", ""decreases"", ""emetonium_iodide""], [""Dihydroetorphine"", ""increases"", ""pregabalin""], [""Dihydroetorphine"", ""increases"", ""lofexidine""]]"
