method_col,Method,Mean F1,Mean AUC,Avg Score,Rank
snea_bert_alpha_0.3,SNEA-SBERT α=0.3,0.739075705186884,0.8633524692446133,0.8012140872157487,1.0
snea_bert_alpha_0.2,SNEA-SBERT α=0.2,0.7381683121612754,0.8634962159118371,0.8008322640365563,2.0
snea_bert_alpha_0.4,SNEA-SBERT α=0.4,0.73817564557384,0.862516507377056,0.800346076475448,3.0
snea_bert_alpha_0.5,SNEA-SBERT α=0.5,0.7379317204764527,0.8616802110529378,0.7998059657646952,4.0
snea_bert_alpha_0.6,SNEA-SBERT α=0.6,0.7364590436574435,0.8605366863682106,0.798497865012827,5.0
snea_bert_alpha_0.7,SNEA-SBERT α=0.7,0.7367043085874123,0.8592232070246075,0.7979637578060099,6.0
snea_bert_alpha_0.1,SNEA-SBERT α=0.1,0.732708912644264,0.8616081946297263,0.7971585536369952,7.0
snea_bert_alpha_0.8,SNEA-SBERT α=0.8,0.7356138480170367,0.8579169677786023,0.7967654078978195,8.0
snea_bert_alpha_0.9,SNEA-SBERT α=0.9,0.7343055319514583,0.8566961202106603,0.7955008260810593,9.0
snea_bert_alpha_0.0,SNEA-SBERT α=0.0,0.7054195506083942,0.846452074921761,0.7759358127650776,10.0
snea_bert_alpha_1.0_SNEA_alone,SNEA (WL only),0.7339569220120513,0.8178075602390192,0.7758822411255353,11.0
aa_kea_similarity,AA-KEA,0.7339569220120513,0.8178075602390192,0.7758822411255353,11.0
kea_bert_similarity,KEA-BERT,0.7134438041352811,0.8369756214377678,0.7752097127865245,13.0
kea_similarity,KEA,0.7333158730698932,0.8100069627004554,0.7716614178851743,14.0
semantic_wl_similarity,Semantic WL,0.6964180204033623,0.8302920827629348,0.7633550515831485,15.0
wl_kernel_similarity,WL Kernel,0.6973883192787282,0.7874727648232752,0.7424305420510018,16.0
rotate_similarity,RotatE,0.6837397016521535,0.7419746967275775,0.7128571991898656,17.0
transe_similarity,TransE,0.680587973779238,0.7318074661909812,0.7061977199851096,18.0
