Dataset,Our Best Variant,Our F1,Our AUC,Best Other Method,Other F1,Other AUC,ΔF1,ΔAUC,Verdict
MRPC,SNEA-SBERT α=0.3,0.696,0.68,KEA-BERT,0.694,0.68,0.002,-0.0,~ Comparable
PAWS-Wiki,SNEA-SBERT α=0.5,0.778,0.822,KEA,0.765,0.722,0.013,0.1,~ Comparable
PubMedQA,AA-KEA,0.0,,KEA,0.0,,0.0,,~ Comparable
SKG-Codex,AA-KEA,0.937,0.941,KEA,0.93,0.932,0.006,0.009,~ Comparable
SKG-Combined,SNEA-SBERT α=0.5,0.86,0.878,KEA,0.858,0.845,0.001,0.033,~ Comparable
SKG-FindKG,SNEA-SBERT α=0.0,0.78,0.82,KEA-BERT,0.753,0.771,0.027,0.049,~ Comparable
SKG-GloBI,AA-KEA,0.892,0.917,KEA,0.895,0.912,-0.004,0.005,▼ Slight gap
SKG-Oregano,SNEA-SBERT α=0.3,0.813,0.896,KEA,0.814,0.775,-0.001,0.121,▼ Slight gap
STS12,SNEA-SBERT α=0.1,0.808,0.876,KEA-BERT,0.802,0.879,0.006,-0.003,~ Comparable
Wiki-Swap,SNEA-SBERT α=0.1,0.874,0.894,KEA-BERT,0.894,0.885,-0.02,0.008,▼ Slight gap
