method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.65,0.6151898734177215,0.5742574257425742,0.883248730964467,0.696,0.6798184894631595,395
KEA-BERT,kea_bert_similarity,0.65,0.5721518987341773,0.5393258426966292,0.9746192893401016,0.6943942133815552,0.6798184894631596,395
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.52,0.6151898734177215,0.5757575757575758,0.868020304568528,0.6923076923076923,0.6805619648259242,395
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.47000000000000003,0.6075949367088608,0.57,0.868020304568528,0.6881287726358148,0.6787160949597497,395
Semantic WL,semantic_wl_similarity,0.74,0.6278481012658228,0.5912408759124088,0.8223350253807107,0.6878980891719745,0.7187868533046198,395
WL Kernel,wl_kernel_similarity,0.06,0.579746835443038,0.5465465465465466,0.9238578680203046,0.6867924528301886,0.6823693790698868,395
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.43,0.6050632911392405,0.5681063122923588,0.868020304568528,0.6867469879518072,0.6778957083525611,395
KEA,kea_similarity,0.34,0.6050632911392405,0.5681063122923588,0.868020304568528,0.6867469879518072,0.6750884479310875,395
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.7000000000000001,0.6050632911392405,0.5681063122923588,0.868020304568528,0.6867469879518072,0.675588371019843,395
AA-KEA,aa_kea_similarity,0.37,0.5949367088607594,0.5594855305466238,0.883248730964467,0.6850393700787402,0.6779213454340358,395
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.37,0.5949367088607594,0.5594855305466238,0.883248730964467,0.6850393700787402,0.6779213454340358,395
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.7000000000000001,0.589873417721519,0.555205047318612,0.8934010152284264,0.6848249027237354,0.6704865918063887,395
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.51,0.5873417721518988,0.553125,0.8984771573604061,0.6847195357833655,0.6809465210480439,395
RotatE,rotate_similarity,0.06,0.5518987341772152,0.5274725274725275,0.9746192893401016,0.6844919786096256,0.7054299338563297,395
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.63,0.6075949367088608,0.5714285714285714,0.8527918781725888,0.6843177189409368,0.6814079885145875,395
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.5,0.5670886075949367,0.5377906976744186,0.9390862944162437,0.6839186691312384,0.6821514638773523,395
TransE,transe_similarity,0.01,0.6,0.5652173913043478,0.8578680203045685,0.6814516129032258,0.6928293083115418,395
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.67,0.5620253164556962,0.5348837209302325,0.934010152284264,0.6802218114602587,0.6604368558683279,395
