method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.92,0.7519181585677749,0.6967213114754098,0.8808290155440415,0.7780320366132724,0.8217407232951275,391
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.91,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.8213743654158162,391
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.81,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.7553121892500131,391
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.8300000000000001,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.8216098811953735,391
AA-KEA,aa_kea_similarity,0.81,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.7553121892500131,391
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.85,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.8219239022347831,391
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.88,0.7468030690537084,0.688,0.8911917098445595,0.7765237020316027,0.8220547443345371,391
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.89,0.7493606138107417,0.6938775510204082,0.8808290155440415,0.776255707762557,0.8222117548542419,391
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.9400000000000001,0.7519181585677749,0.7,0.8704663212435233,0.7759815242494227,0.8201706180980792,391
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.9500000000000001,0.7493606138107417,0.70042194092827,0.8601036269430051,0.772093023255814,0.8168210603443764,391
KEA,kea_similarity,0.87,0.7212276214833759,0.6555555555555556,0.917098445595855,0.7645788336933045,0.7215549275134768,391
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.97,0.7442455242966752,0.7123287671232876,0.8082901554404145,0.7572815533980582,0.8075574396817919,391
KEA-BERT,kea_bert_similarity,0.96,0.7340153452685422,0.7089201877934272,0.7823834196891192,0.7438423645320197,0.8082509028104883,391
WL Kernel,wl_kernel_similarity,0.62,0.7186700767263428,0.6860986547085202,0.7927461139896373,0.7355769230769231,0.761566441618255,391
RotatE,rotate_similarity,0.9,0.6726342710997443,0.6173285198555957,0.8860103626943006,0.7276595744680852,0.6693620139215993,391
TransE,transe_similarity,0.75,0.639386189258312,0.5860927152317881,0.917098445595855,0.7151515151515152,0.6669414350761501,391
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.98,0.670076726342711,0.6311475409836066,0.7979274611398963,0.7048054919908466,0.7636206625843931,391
Semantic WL,semantic_wl_similarity,0.97,0.6930946291560103,0.6713615023474179,0.7409326424870466,0.7044334975369458,0.7652954414612445,391
