method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.98,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9830555555555556,398
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.96,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9413888888888889,398
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.96,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9826767676767678,398
AA-KEA,aa_kea_similarity,0.96,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9413888888888889,398
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.97,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9827272727272728,398
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.97,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9827777777777778,398
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.97,0.9346733668341709,0.9056603773584906,0.9696969696969697,0.9365853658536586,0.9828282828282828,398
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.98,0.9321608040201005,0.9052132701421801,0.9646464646464646,0.9339853300733496,0.9832070707070707,398
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.99,0.9296482412060302,0.9047619047619048,0.9595959595959596,0.9313725490196079,0.9832323232323232,398
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.99,0.9296482412060302,0.9047619047619048,0.9595959595959596,0.9313725490196079,0.9833333333333333,398
KEA,kea_similarity,0.96,0.9271356783919598,0.8858447488584474,0.9797979797979798,0.9304556354916067,0.9321464646464647,398
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.99,0.9246231155778895,0.9038461538461539,0.9494949494949495,0.9261083743842364,0.9827525252525252,398
KEA-BERT,kea_bert_similarity,0.99,0.9020100502512562,0.9542857142857143,0.8434343434343434,0.8954423592493298,0.9686616161616162,398
Semantic WL,semantic_wl_similarity,0.99,0.8869346733668342,0.8591549295774648,0.9242424242424242,0.8905109489051095,0.9716919191919192,398
WL Kernel,wl_kernel_similarity,0.9500000000000001,0.8819095477386935,0.8647342995169082,0.9040404040404041,0.8839506172839506,0.9044823232323231,398
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.99,0.8618090452261307,0.7966804979253111,0.9696969696969697,0.8747152619589977,0.9784343434343434,398
RotatE,rotate_similarity,0.9500000000000001,0.7889447236180904,0.7065217391304348,0.9848484848484849,0.8227848101265823,0.7814520202020202,398
TransE,transe_similarity,0.96,0.7839195979899497,0.7089552238805971,0.9595959595959596,0.8154506437768241,0.791439393939394,398
