method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.98,0.8465608465608465,0.8018018018018018,0.9270833333333334,0.8599033816425121,0.8776321684587814,378
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.98,0.8465608465608465,0.8045454545454546,0.921875,0.8592233009708737,0.8781081989247312,378
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.99,0.8465608465608465,0.8045454545454546,0.921875,0.8592233009708737,0.876652105734767,378
KEA,kea_similarity,0.9500000000000001,0.8412698412698413,0.7844827586206896,0.9479166666666666,0.8584905660377359,0.8447720654121863,378
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.98,0.843915343915344,0.7982062780269058,0.9270833333333334,0.8578313253012049,0.8770721326164875,378
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.99,0.843915343915344,0.7982062780269058,0.9270833333333334,0.8578313253012049,0.8763160842293907,378
AA-KEA,aa_kea_similarity,0.9500000000000001,0.8386243386243386,0.7911111111111111,0.9270833333333334,0.8537170263788969,0.8445340501792115,378
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.97,0.8386243386243386,0.7911111111111111,0.9270833333333334,0.8537170263788969,0.8785562275985663,378
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.96,0.8386243386243386,0.7911111111111111,0.9270833333333334,0.8537170263788969,0.8761760752688172,378
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.9500000000000001,0.8386243386243386,0.7911111111111111,0.9270833333333334,0.8537170263788969,0.8445340501792115,378
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.97,0.8253968253968254,0.771551724137931,0.9322916666666666,0.8443396226415094,0.8781362007168458,378
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.98,0.798941798941799,0.7636363636363637,0.875,0.8155339805825242,0.8731238799283153,378
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.97,0.7486772486772487,0.6750902527075813,0.9739583333333334,0.7974413646055437,0.846046146953405,378
Semantic WL,semantic_wl_similarity,0.9400000000000001,0.7592592592592593,0.6996047430830039,0.921875,0.7955056179775281,0.8384856630824372,378
WL Kernel,wl_kernel_similarity,0.9500000000000001,0.783068783068783,0.7722772277227723,0.8125,0.7918781725888325,0.7974070340501792,378
KEA-BERT,kea_bert_similarity,0.91,0.7116402116402116,0.6456140350877193,0.9583333333333334,0.7714884696016772,0.8121919802867383,378
TransE,transe_similarity,0.85,0.7222222222222222,0.667953667953668,0.9010416666666666,0.7671840354767184,0.7431955645161291,378
RotatE,rotate_similarity,0.96,0.7195767195767195,0.6692913385826772,0.8854166666666666,0.7623318385650224,0.7301047267025089,378
