perturbation_type,method,f1,roc_auc,n_samples
node_replacement,KEA,0.9795918367346939,0.9821276595744681,97
node_replacement,TransE,0.9247311827956989,0.9612765957446807,97
node_replacement,RotatE,0.9247311827956989,0.934468085106383,97
node_replacement,WL Kernel,0.9292929292929293,0.9587234042553191,97
node_replacement,AA-KEA,0.9795918367346939,0.9838297872340426,97
node_replacement,SNEA-SBERT α=0.0,0.94,0.9825531914893617,97
node_replacement,SNEA-SBERT α=0.1,0.9702970297029703,0.9931914893617022,97
node_replacement,SNEA-SBERT α=0.2,0.9702970297029703,0.9923404255319148,97
node_replacement,SNEA-SBERT α=0.3,0.9795918367346939,0.9923404255319149,97
node_replacement,SNEA-SBERT α=0.4,0.9795918367346939,0.9914893617021276,97
node_replacement,SNEA-SBERT α=0.5,0.9795918367346939,0.9897872340425532,97
node_replacement,SNEA-SBERT α=0.6,0.9795918367346939,0.9872340425531915,97
node_replacement,SNEA-SBERT α=0.7,0.9795918367346939,0.9868085106382979,97
node_replacement,SNEA-SBERT α=0.8,0.9795918367346939,0.9846808510638297,97
node_replacement,SNEA-SBERT α=0.9,0.9795918367346939,0.9842553191489362,97
node_replacement,SNEA (WL only),0.9795918367346939,0.9838297872340426,97
node_replacement,KEA-BERT,0.9142857142857143,0.9727659574468085,97
node_replacement,Semantic WL,0.9215686274509803,0.9621276595744681,97
edge_deletion,KEA,0.9245283018867925,0.9057274247491639,98
edge_deletion,TransE,0.7153284671532847,0.560200668896321,98
edge_deletion,RotatE,0.7194244604316546,0.5407608695652173,98
edge_deletion,WL Kernel,0.9,0.8743729096989966,98
edge_deletion,AA-KEA,0.9423076923076923,0.925794314381271,98
edge_deletion,SNEA-SBERT α=0.0,0.7894736842105263,0.8540969899665551,98
edge_deletion,SNEA-SBERT α=0.1,0.9019607843137255,0.8996655518394648,98
edge_deletion,SNEA-SBERT α=0.2,0.9230769230769231,0.9084448160535117,98
edge_deletion,SNEA-SBERT α=0.3,0.9333333333333333,0.9105351170568561,98
edge_deletion,SNEA-SBERT α=0.4,0.9423076923076923,0.9113712374581939,98
edge_deletion,SNEA-SBERT α=0.5,0.9423076923076923,0.9117892976588627,98
edge_deletion,SNEA-SBERT α=0.6,0.9423076923076923,0.9117892976588627,98
edge_deletion,SNEA-SBERT α=0.7,0.9423076923076923,0.9117892976588627,98
edge_deletion,SNEA-SBERT α=0.8,0.9423076923076923,0.9117892976588627,98
edge_deletion,SNEA-SBERT α=0.9,0.9423076923076923,0.9117892976588629,98
edge_deletion,SNEA (WL only),0.9423076923076923,0.925794314381271,98
edge_deletion,KEA-BERT,0.7101449275362319,0.7144648829431438,98
edge_deletion,Semantic WL,0.7903225806451613,0.8428093645484949,98
edge_replacement,KEA,0.6666666666666666,0.509141156462585,97
edge_replacement,TransE,0.6620689655172414,0.4834183673469388,97
edge_replacement,RotatE,0.6620689655172414,0.4404761904761906,97
edge_replacement,WL Kernel,0.6620689655172414,0.4453656462585034,97
edge_replacement,AA-KEA,0.6620689655172414,0.4991496598639456,97
edge_replacement,SNEA-SBERT α=0.0,0.6861313868613139,0.675595238095238,97
edge_replacement,SNEA-SBERT α=0.1,0.6764705882352942,0.6645408163265305,97
edge_replacement,SNEA-SBERT α=0.2,0.6666666666666666,0.6607142857142858,97
edge_replacement,SNEA-SBERT α=0.3,0.6666666666666666,0.6585884353741496,97
edge_replacement,SNEA-SBERT α=0.4,0.6666666666666666,0.6585884353741496,97
edge_replacement,SNEA-SBERT α=0.5,0.6666666666666666,0.6585884353741496,97
edge_replacement,SNEA-SBERT α=0.6,0.6620689655172414,0.6585884353741496,97
edge_replacement,SNEA-SBERT α=0.7,0.6666666666666666,0.6585884353741496,97
edge_replacement,SNEA-SBERT α=0.8,0.6666666666666666,0.6581632653061223,97
edge_replacement,SNEA-SBERT α=0.9,0.6620689655172414,0.6577380952380951,97
edge_replacement,SNEA (WL only),0.6620689655172414,0.4991496598639456,97
edge_replacement,KEA-BERT,0.6818181818181818,0.6921768707482993,97
edge_replacement,Semantic WL,0.6976744186046512,0.6781462585034014,97
node_removal,KEA,0.9882352941176471,0.9994588744588745,86
node_removal,TransE,0.95,0.9702380952380952,86
node_removal,RotatE,0.9230769230769231,0.9604978354978354,86
node_removal,WL Kernel,0.9156626506024096,0.9642857142857143,86
node_removal,AA-KEA,0.975609756097561,0.9956709956709957,86
node_removal,SNEA-SBERT α=0.0,0.926829268292683,0.9756493506493507,86
node_removal,SNEA-SBERT α=0.1,0.975609756097561,0.9978354978354979,86
node_removal,SNEA-SBERT α=0.2,0.975609756097561,0.9972943722943722,86
node_removal,SNEA-SBERT α=0.3,0.975609756097561,0.9972943722943722,86
node_removal,SNEA-SBERT α=0.4,0.975609756097561,0.9972943722943722,86
node_removal,SNEA-SBERT α=0.5,0.9761904761904762,0.9962121212121212,86
node_removal,SNEA-SBERT α=0.6,0.975609756097561,0.9962121212121212,86
node_removal,SNEA-SBERT α=0.7,0.975609756097561,0.9962121212121212,86
node_removal,SNEA-SBERT α=0.8,0.975609756097561,0.9956709956709957,86
node_removal,SNEA-SBERT α=0.9,0.975609756097561,0.9956709956709957,86
node_removal,SNEA (WL only),0.975609756097561,0.9956709956709957,86
node_removal,KEA-BERT,0.8837209302325582,0.9523809523809523,86
node_removal,Semantic WL,0.845360824742268,0.9053030303030303,86
