method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.9400000000000001,0.7362924281984334,0.6704119850187266,0.9322916666666666,0.7799564270152506,0.8197262216404887,383
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.85,0.7284595300261096,0.662962962962963,0.9322916666666666,0.7748917748917749,0.8166448516579407,383
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.9,0.7284595300261096,0.6654135338345865,0.921875,0.7729257641921398,0.8221258726003491,383
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.79,0.7023498694516971,0.6373239436619719,0.9427083333333334,0.7605042016806722,0.8110002181500873,383
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.76,0.7101827676240209,0.6528301886792452,0.9010416666666666,0.7571115973741794,0.806337260034904,383
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.6900000000000001,0.6945169712793734,0.6325088339222615,0.9322916666666666,0.7536842105263157,0.8021106020942409,383
KEA-BERT,kea_bert_similarity,0.8300000000000001,0.6971279373368147,0.6366906474820144,0.921875,0.7531914893617021,0.7710787521815008,383
Semantic WL,semantic_wl_similarity,0.81,0.6945169712793734,0.6334519572953736,0.9270833333333334,0.7526427061310782,0.7787412739965096,383
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.68,0.7023498694516971,0.648854961832061,0.8854166666666666,0.748898678414097,0.7987292757417104,383
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.63,0.6997389033942559,0.6463878326996197,0.8854166666666666,0.7472527472527473,0.7939845113438045,383
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.65,0.7232375979112271,0.6919642857142857,0.8072916666666666,0.7451923076923077,0.7901396160558465,383
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.62,0.720626631853786,0.6888888888888889,0.8072916666666666,0.7434052757793765,0.7864037958115182,383
AA-KEA,aa_kea_similarity,0.5700000000000001,0.7180156657963447,0.6858407079646017,0.8072916666666666,0.7416267942583732,0.776573407504363,383
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.5700000000000001,0.7180156657963447,0.6858407079646017,0.8072916666666666,0.7416267942583732,0.776573407504363,383
KEA,kea_similarity,0.58,0.7127937336814621,0.6830357142857143,0.796875,0.7355769230769231,0.7625845331588132,383
WL Kernel,wl_kernel_similarity,0.3,0.639686684073107,0.5912162162162162,0.9114583333333334,0.7172131147540983,0.7221449607329844,383
RotatE,rotate_similarity,0.64,0.6684073107049608,0.6264591439688716,0.8385416666666666,0.7171492204899778,0.7013525305410122,383
TransE,transe_similarity,0.28,0.6631853785900783,0.6265060240963856,0.8125,0.7074829931972789,0.6869000872600348,383
