perturbation_type,method,f1,roc_auc,n_samples
node_replacement,KEA,0.8791208791208791,0.9094612947034857,94
node_replacement,TransE,0.8,0.8454051607062019,94
node_replacement,RotatE,0.8,0.8628338614757809,94
node_replacement,WL Kernel,0.7610619469026548,0.8349932095971027,94
node_replacement,AA-KEA,0.8539325842696629,0.9234947940244455,94
node_replacement,SNEA-SBERT α=0.0,0.8775510204081632,0.9529198732458126,94
node_replacement,SNEA-SBERT α=0.1,0.9032258064516129,0.9687641466727026,94
node_replacement,SNEA-SBERT α=0.2,0.9090909090909091,0.9678587596197374,94
node_replacement,SNEA-SBERT α=0.3,0.9019607843137255,0.9637845178813944,94
node_replacement,SNEA-SBERT α=0.4,0.8910891089108911,0.9633318243549117,94
node_replacement,SNEA-SBERT α=0.5,0.8888888888888888,0.9574468085106382,94
node_replacement,SNEA-SBERT α=0.6,0.88,0.9560887279311905,94
node_replacement,SNEA-SBERT α=0.7,0.8775510204081632,0.9506564056133997,94
node_replacement,SNEA-SBERT α=0.8,0.8695652173913043,0.9402444545043006,94
node_replacement,SNEA-SBERT α=0.9,0.8636363636363636,0.9330013580805795,94
node_replacement,SNEA (WL only),0.8539325842696629,0.9234947940244455,94
node_replacement,KEA-BERT,0.8514851485148515,0.9248528746038932,94
node_replacement,Semantic WL,0.8514851485148515,0.9171570846536894,94
node_removal,KEA,0.8173913043478261,0.8745039682539683,127
node_removal,TransE,0.8031496062992126,0.8360615079365079,127
node_removal,RotatE,0.7878787878787878,0.8487103174603174,127
node_removal,WL Kernel,0.8070175438596491,0.8692956349206349,127
node_removal,AA-KEA,0.8305084745762712,0.8888888888888888,127
node_removal,SNEA-SBERT α=0.0,0.8740740740740741,0.9417162698412698,127
node_removal,SNEA-SBERT α=0.1,0.8787878787878788,0.9501488095238095,127
node_removal,SNEA-SBERT α=0.2,0.8636363636363636,0.9444444444444444,127
node_removal,SNEA-SBERT α=0.3,0.8503937007874016,0.9379960317460319,127
node_removal,SNEA-SBERT α=0.4,0.8461538461538461,0.9290674603174602,127
node_removal,SNEA-SBERT α=0.5,0.8495575221238938,0.920138888888889,127
node_removal,SNEA-SBERT α=0.6,0.8448275862068966,0.9146825396825397,127
node_removal,SNEA-SBERT α=0.7,0.8448275862068966,0.9064980158730159,127
node_removal,SNEA-SBERT α=0.8,0.8376068376068376,0.9010416666666666,127
node_removal,SNEA-SBERT α=0.9,0.8376068376068376,0.8938492063492064,127
node_removal,SNEA (WL only),0.8305084745762712,0.8888888888888888,127
node_removal,KEA-BERT,0.84375,0.9136904761904762,127
node_removal,Semantic WL,0.8444444444444444,0.908234126984127,127
edge_deletion,KEA,0.7307692307692307,0.6789314516129031,63
edge_deletion,TransE,0.6595744680851063,0.4848790322580645,63
edge_deletion,RotatE,0.6595744680851063,0.528225806451613,63
edge_deletion,WL Kernel,0.6739130434782609,0.6507056451612903,63
edge_deletion,AA-KEA,0.72,0.6915322580645161,63
edge_deletion,SNEA-SBERT α=0.0,0.6923076923076923,0.7318548387096774,63
edge_deletion,SNEA-SBERT α=0.1,0.6746987951807228,0.7419354838709676,63
edge_deletion,SNEA-SBERT α=0.2,0.6938775510204082,0.7237903225806452,63
edge_deletion,SNEA-SBERT α=0.3,0.72,0.7197580645161291,63
edge_deletion,SNEA-SBERT α=0.4,0.72,0.7096774193548387,63
edge_deletion,SNEA-SBERT α=0.5,0.72,0.7016129032258064,63
edge_deletion,SNEA-SBERT α=0.6,0.72,0.6995967741935483,63
edge_deletion,SNEA-SBERT α=0.7,0.72,0.6975806451612904,63
edge_deletion,SNEA-SBERT α=0.8,0.72,0.6955645161290324,63
edge_deletion,SNEA-SBERT α=0.9,0.72,0.6945564516129034,63
edge_deletion,SNEA (WL only),0.72,0.6915322580645161,63
edge_deletion,KEA-BERT,0.6813186813186813,0.5675403225806451,63
edge_deletion,Semantic WL,0.7160493827160493,0.6975806451612904,63
edge_replacement,KEA,0.6802721088435374,0.536530612244898,99
edge_replacement,TransE,0.6711409395973155,0.5040816326530612,99
edge_replacement,RotatE,0.6802721088435374,0.4857142857142857,99
edge_replacement,WL Kernel,0.6756756756756757,0.5118367346938776,99
edge_replacement,AA-KEA,0.6756756756756757,0.5559183673469388,99
edge_replacement,SNEA-SBERT α=0.0,0.6917293233082706,0.6289795918367347,99
edge_replacement,SNEA-SBERT α=0.1,0.6802721088435374,0.6008163265306122,99
edge_replacement,SNEA-SBERT α=0.2,0.6825396825396826,0.5971428571428572,99
edge_replacement,SNEA-SBERT α=0.3,0.6776859504132231,0.5914285714285714,99
edge_replacement,SNEA-SBERT α=0.4,0.6756756756756757,0.590204081632653,99
edge_replacement,SNEA-SBERT α=0.5,0.6776859504132231,0.5885714285714285,99
edge_replacement,SNEA-SBERT α=0.6,0.6756756756756757,0.5881632653061225,99
edge_replacement,SNEA-SBERT α=0.7,0.6776859504132231,0.586530612244898,99
edge_replacement,SNEA-SBERT α=0.8,0.6756756756756757,0.5853061224489796,99
edge_replacement,SNEA-SBERT α=0.9,0.6756756756756757,0.5844897959183672,99
edge_replacement,SNEA (WL only),0.6756756756756757,0.5559183673469388,99
edge_replacement,KEA-BERT,0.6756756756756757,0.573877551020408,99
edge_replacement,Semantic WL,0.676056338028169,0.5351020408163265,99
