method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
KEA,kea_similarity,0.96,0.8925,0.8720379146919431,0.92,0.8953771289537713,0.912475,400
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.97,0.89,0.8786407766990292,0.905,0.8916256157635468,0.9350499999999999,400
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.96,0.89,0.8786407766990292,0.905,0.8916256157635468,0.9174,400
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.96,0.89,0.8786407766990292,0.905,0.8916256157635468,0.9344,400
AA-KEA,aa_kea_similarity,0.96,0.89,0.8786407766990292,0.905,0.8916256157635468,0.9174,400
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.97,0.89,0.8786407766990292,0.905,0.8916256157635468,0.934625,400
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.97,0.89,0.8786407766990292,0.905,0.8916256157635468,0.9348249999999999,400
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.97,0.8875,0.8672985781990521,0.915,0.8905109489051095,0.9358,400
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.97,0.8875,0.8708133971291866,0.91,0.8899755501222494,0.935425,400
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.98,0.8875,0.8743961352657005,0.905,0.8894348894348895,0.9364750000000001,400
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.98,0.885,0.8632075471698113,0.915,0.8883495145631068,0.936875,400
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.98,0.875,0.8289473684210527,0.945,0.883177570093458,0.933725,400
WL Kernel,wl_kernel_similarity,0.73,0.7925,0.7191011235955056,0.96,0.8222698072805139,0.8630625,400
RotatE,rotate_similarity,0.96,0.7825,0.7164750957854407,0.935,0.8112798264642083,0.802775,400
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.98,0.775,0.6992753623188406,0.965,0.8109243697478992,0.8982749999999999,400
TransE,transe_similarity,0.76,0.7675,0.6959706959706959,0.95,0.8033826638477801,0.7762625,400
KEA-BERT,kea_bert_similarity,0.93,0.76,0.6884057971014492,0.95,0.7983193277310925,0.862825,400
Semantic WL,semantic_wl_similarity,0.9500000000000001,0.7675,0.7065637065637066,0.915,0.7973856209150327,0.8645999999999999,400
