perturbation_type,method,f1,roc_auc,n_samples
node_replacement,KEA,0.9882352941176471,0.9994588744588745,86
node_replacement,TransE,0.9512195121951219,0.9794372294372294,86
node_replacement,RotatE,0.975609756097561,0.9913419913419914,86
node_replacement,WL Kernel,0.9761904761904762,0.988095238095238,86
node_replacement,AA-KEA,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.0,0.9655172413793104,0.9956709956709957,86
node_replacement,SNEA-SBERT α=0.1,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.2,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.3,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.4,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.5,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.6,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.7,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.8,1.0,1.0,86
node_replacement,SNEA-SBERT α=0.9,1.0,1.0,86
node_replacement,SNEA (WL only),1.0,1.0,86
node_replacement,KEA-BERT,0.9767441860465116,0.998917748917749,86
node_replacement,Semantic WL,0.9629629629629629,0.9653679653679653,86
edge_replacement,KEA,0.7128712871287128,0.6036036036036035,76
edge_replacement,TransE,0.72,0.5145530145530146,76
edge_replacement,RotatE,0.72,0.5918225918225919,76
edge_replacement,WL Kernel,0.7115384615384616,0.5814275814275814,76
edge_replacement,AA-KEA,0.7142857142857143,0.6188496188496189,76
edge_replacement,SNEA-SBERT α=0.0,0.6846846846846847,0.6396396396396398,76
edge_replacement,SNEA-SBERT α=0.1,0.7115384615384616,0.6486486486486486,76
edge_replacement,SNEA-SBERT α=0.2,0.7115384615384616,0.6625086625086625,76
edge_replacement,SNEA-SBERT α=0.3,0.7115384615384616,0.6652806652806652,76
edge_replacement,SNEA-SBERT α=0.4,0.7142857142857143,0.6652806652806652,76
edge_replacement,SNEA-SBERT α=0.5,0.7142857142857143,0.6645876645876646,76
edge_replacement,SNEA-SBERT α=0.6,0.7142857142857143,0.6645876645876646,76
edge_replacement,SNEA-SBERT α=0.7,0.7142857142857143,0.6645876645876646,76
edge_replacement,SNEA-SBERT α=0.8,0.7142857142857143,0.6638946638946639,76
edge_replacement,SNEA-SBERT α=0.9,0.7142857142857143,0.6638946638946639,76
edge_replacement,SNEA (WL only),0.7142857142857143,0.6188496188496189,76
edge_replacement,KEA-BERT,0.693069306930693,0.6881496881496881,76
edge_replacement,Semantic WL,0.7037037037037037,0.6902286902286903,76
node_removal,KEA,1.0,1.0,133
node_removal,TransE,0.9629629629629629,0.9907281772953415,133
node_removal,RotatE,0.9705882352941176,0.9977385798281321,133
node_removal,WL Kernel,0.9777777777777777,0.9968340117593848,133
node_removal,AA-KEA,1.0,1.0,133
node_removal,SNEA-SBERT α=0.0,0.9343065693430657,0.9841700587969244,133
node_removal,SNEA-SBERT α=0.1,0.9924812030075187,0.9995477159656264,133
node_removal,SNEA-SBERT α=0.2,1.0,1.0,133
node_removal,SNEA-SBERT α=0.3,1.0,1.0,133
node_removal,SNEA-SBERT α=0.4,1.0,1.0,133
node_removal,SNEA-SBERT α=0.5,1.0,1.0,133
node_removal,SNEA-SBERT α=0.6,1.0,1.0,133
node_removal,SNEA-SBERT α=0.7,1.0,1.0,133
node_removal,SNEA-SBERT α=0.8,1.0,1.0,133
node_removal,SNEA-SBERT α=0.9,1.0,1.0,133
node_removal,SNEA (WL only),1.0,1.0,133
node_removal,KEA-BERT,0.9027777777777778,0.969244685662596,133
node_removal,Semantic WL,0.8194444444444444,0.8919041157847127,133
edge_deletion,KEA,0.94,0.9493831640058055,105
edge_deletion,TransE,0.6666666666666666,0.56966618287373,105
edge_deletion,RotatE,0.6666666666666666,0.5406386066763426,105
edge_deletion,WL Kernel,0.7674418604651163,0.7703193033381712,105
edge_deletion,AA-KEA,0.94,0.9602685050798259,105
edge_deletion,SNEA-SBERT α=0.0,0.7666666666666667,0.8766328011611031,105
edge_deletion,SNEA-SBERT α=0.1,0.9072164948453608,0.9669811320754718,105
edge_deletion,SNEA-SBERT α=0.2,0.9514563106796117,0.9680696661828737,105
edge_deletion,SNEA-SBERT α=0.3,0.9504950495049505,0.9680696661828738,105
edge_deletion,SNEA-SBERT α=0.4,0.9411764705882353,0.9677068214804064,105
edge_deletion,SNEA-SBERT α=0.5,0.9411764705882353,0.9677068214804064,105
edge_deletion,SNEA-SBERT α=0.6,0.94,0.9677068214804064,105
edge_deletion,SNEA-SBERT α=0.7,0.9411764705882353,0.9655297532656023,105
edge_deletion,SNEA-SBERT α=0.8,0.94,0.9658925979680697,105
edge_deletion,SNEA-SBERT α=0.9,0.9411764705882353,0.9658925979680697,105
edge_deletion,SNEA (WL only),0.94,0.9602685050798259,105
edge_deletion,KEA-BERT,0.6962962962962963,0.7177068214804064,105
edge_deletion,Semantic WL,0.7741935483870968,0.8443396226415094,105
