method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
KEA,kea_similarity,0.9400000000000001,0.7738693467336684,0.6912280701754386,0.9899497487437185,0.8140495867768595,0.7751571930001767,398
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.99,0.7763819095477387,0.697841726618705,0.9748743718592965,0.8134171907756813,0.8957602080755537,398
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.99,0.7763819095477387,0.697841726618705,0.9748743718592965,0.8134171907756813,0.8956339486376605,398
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.99,0.7738693467336684,0.6925795053003534,0.9849246231155779,0.8132780082987552,0.8955581929749248,398
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.99,0.7738693467336684,0.6925795053003534,0.9849246231155779,0.8132780082987552,0.895356177874296,398
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.98,0.7713567839195979,0.6888111888111889,0.9899497487437185,0.8123711340206186,0.8958864675134466,398
AA-KEA,aa_kea_similarity,0.9500000000000001,0.7713567839195979,0.6901408450704225,0.9849246231155779,0.8115942028985508,0.772922400949471,398
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.97,0.7713567839195979,0.6901408450704225,0.9849246231155779,0.8115942028985508,0.8956339486376605,398
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.96,0.7713567839195979,0.6901408450704225,0.9849246231155779,0.8115942028985508,0.8952046665488246,398
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.9500000000000001,0.7713567839195979,0.6901408450704225,0.9849246231155779,0.8115942028985508,0.895179414661246,398
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.9500000000000001,0.7713567839195979,0.6901408450704225,0.9849246231155779,0.8115942028985508,0.772922400949471,398
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.99,0.7688442211055276,0.6959706959706959,0.9547738693467337,0.8050847457627118,0.8955329410873463,398
KEA-BERT,kea_bert_similarity,0.99,0.7864321608040201,0.8,0.7638190954773869,0.781491002570694,0.8654831948688164,398
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.99,0.7286432160804021,0.657439446366782,0.9547738693467337,0.7786885245901639,0.8878058634882957,398
WL Kernel,wl_kernel_similarity,0.93,0.7160804020100503,0.6641221374045801,0.8743718592964824,0.754880694143167,0.7329360369687633,398
Semantic WL,semantic_wl_similarity,0.96,0.6758793969849246,0.6198630136986302,0.9095477386934674,0.7372708757637475,0.8066462968106866,398
TransE,transe_similarity,0.88,0.6557788944723618,0.5962732919254659,0.964824120603015,0.7370441458733206,0.6429761874700134,398
RotatE,rotate_similarity,0.96,0.6457286432160804,0.590625,0.949748743718593,0.7283236994219653,0.6623443852427969,398
