perturbation_type,method,f1,roc_auc,n_samples
node_replacement,KEA,1.0,1.0,54
node_replacement,TransE,0.9285714285714286,0.9739368998628257,54
node_replacement,RotatE,0.9259259259259259,0.9711934156378601,54
node_replacement,WL Kernel,0.9642857142857143,0.9958847736625515,54
node_replacement,AA-KEA,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.0,0.9629629629629629,0.9972565157750343,54
node_replacement,SNEA-SBERT α=0.1,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.2,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.3,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.4,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.5,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.6,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.7,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.8,1.0,1.0,54
node_replacement,SNEA-SBERT α=0.9,1.0,1.0,54
node_replacement,SNEA (WL only),1.0,1.0,54
node_replacement,KEA-BERT,0.9259259259259259,0.98079561042524,54
node_replacement,Semantic WL,0.9433962264150944,0.9519890260631002,54
node_removal,KEA,1.0,1.0,64
node_removal,TransE,1.0,1.0,64
node_removal,RotatE,1.0,1.0,64
node_removal,WL Kernel,0.9846153846153847,0.9970703125,64
node_removal,AA-KEA,1.0,1.0,64
node_removal,SNEA-SBERT α=0.0,0.9841269841269841,0.9990234375,64
node_removal,SNEA-SBERT α=0.1,1.0,1.0,64
node_removal,SNEA-SBERT α=0.2,1.0,1.0,64
node_removal,SNEA-SBERT α=0.3,1.0,1.0,64
node_removal,SNEA-SBERT α=0.4,1.0,1.0,64
node_removal,SNEA-SBERT α=0.5,1.0,1.0,64
node_removal,SNEA-SBERT α=0.6,1.0,1.0,64
node_removal,SNEA-SBERT α=0.7,1.0,1.0,64
node_removal,SNEA-SBERT α=0.8,1.0,1.0,64
node_removal,SNEA-SBERT α=0.9,1.0,1.0,64
node_removal,SNEA (WL only),1.0,1.0,64
node_removal,KEA-BERT,0.96875,0.9951171875,64
node_removal,Semantic WL,0.9253731343283582,0.9833984375,64
edge_deletion,KEA,0.9803921568627451,0.9796597633136093,104
edge_deletion,TransE,0.6853146853146853,0.5075813609467456,104
edge_deletion,RotatE,0.676056338028169,0.5330991124260355,104
edge_deletion,WL Kernel,0.8444444444444444,0.8302514792899409,104
edge_deletion,AA-KEA,0.9803921568627451,0.979844674556213,104
edge_deletion,SNEA-SBERT α=0.0,0.8275862068965517,0.9356508875739644,104
edge_deletion,SNEA-SBERT α=0.1,0.9504950495049505,0.9796597633136094,104
edge_deletion,SNEA-SBERT α=0.2,0.9714285714285714,0.9807692307692307,104
edge_deletion,SNEA-SBERT α=0.3,0.9803921568627451,0.9807692307692307,104
edge_deletion,SNEA-SBERT α=0.4,0.9803921568627451,0.9807692307692307,104
edge_deletion,SNEA-SBERT α=0.5,0.9803921568627451,0.9807692307692307,104
edge_deletion,SNEA-SBERT α=0.6,0.9803921568627451,0.9807692307692307,104
edge_deletion,SNEA-SBERT α=0.7,0.9803921568627451,0.9800295857988166,104
edge_deletion,SNEA-SBERT α=0.8,0.9803921568627451,0.9800295857988166,104
edge_deletion,SNEA-SBERT α=0.9,0.9803921568627451,0.9800295857988166,104
edge_deletion,SNEA (WL only),0.9803921568627451,0.979844674556213,104
edge_deletion,KEA-BERT,0.8,0.8228550295857988,104
edge_deletion,Semantic WL,0.7526881720430108,0.841346153846154,104
edge_replacement,KEA,0.6666666666666666,0.5,176
edge_replacement,TransE,0.6717557251908397,0.4960614669421488,176
edge_replacement,RotatE,0.6692015209125475,0.5065211776859504,176
edge_replacement,WL Kernel,0.6717557251908397,0.5058109504132231,176
edge_replacement,AA-KEA,0.6666666666666666,0.4943181818181818,176
edge_replacement,SNEA-SBERT α=0.0,0.6717557251908397,0.8252840909090908,176
edge_replacement,SNEA-SBERT α=0.1,0.6692015209125475,0.8201188016528925,176
edge_replacement,SNEA-SBERT α=0.2,0.669260700389105,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.3,0.6718146718146718,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.4,0.6718146718146718,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.5,0.6666666666666666,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.6,0.6666666666666666,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.7,0.6666666666666666,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.8,0.6666666666666666,0.8199896694214877,176
edge_replacement,SNEA-SBERT α=0.9,0.6666666666666666,0.8199896694214877,176
edge_replacement,SNEA (WL only),0.6666666666666666,0.4943181818181818,176
edge_replacement,KEA-BERT,0.7446808510638298,0.8310950413223139,176
edge_replacement,Semantic WL,0.6666666666666666,0.7399276859504132,176
