method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.67,0.7973684210526316,0.7641509433962265,0.8571428571428571,0.8079800498753117,0.8755644200670379,380
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.73,0.8,0.7810945273631841,0.8306878306878307,0.8051282051282052,0.8686390204714812,380
KEA-BERT,kea_bert_similarity,0.66,0.7789473684210526,0.723404255319149,0.8994708994708994,0.8018867924528302,0.8790409706640072,380
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.62,0.7868421052631579,0.7477064220183486,0.8624338624338624,0.800982800982801,0.8749826865010112,380
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.49,0.7763157894736842,0.7203389830508474,0.8994708994708994,0.8,0.8678633757167789,380
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.54,0.7763157894736842,0.7203389830508474,0.8994708994708994,0.8,0.8719632122773484,380
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.44,0.7710526315789473,0.7161016949152542,0.8941798941798942,0.7952941176470588,0.8644560791157649,380
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.41000000000000003,0.7684210526315789,0.7224669603524229,0.8677248677248677,0.7884615384615384,0.8598022105875509,380
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.34,0.7605263157894737,0.7112068965517241,0.873015873015873,0.7838479809976246,0.8539017701321366,380
KEA,kea_similarity,0.13,0.7605263157894737,0.7112068965517241,0.873015873015873,0.7838479809976246,0.8211446300451535,380
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.27,0.7578947368421053,0.7081545064377682,0.873015873015873,0.7819905213270142,0.8488877808249535,380
AA-KEA,aa_kea_similarity,0.16,0.7526315789473684,0.7056277056277056,0.8624338624338624,0.7761904761904762,0.8201612233025847,380
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.22,0.7526315789473684,0.7056277056277056,0.8624338624338624,0.7761904761904762,0.8432366547549793,380
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.16,0.7526315789473684,0.7056277056277056,0.8624338624338624,0.7761904761904762,0.8201612233025847,380
Semantic WL,semantic_wl_similarity,0.68,0.75,0.7043478260869566,0.8571428571428571,0.7732696897374701,0.8327100473697333,380
WL Kernel,wl_kernel_similarity,0.09,0.7368421052631579,0.751412429378531,0.7037037037037037,0.726775956284153,0.7700351810299453,380
RotatE,rotate_similarity,0.39,0.6947368421052632,0.6607929515418502,0.7936507936507936,0.7211538461538461,0.7530541012216405,380
TransE,transe_similarity,0.04,0.6710526315789473,0.6311475409836066,0.8148148148148148,0.7113163972286374,0.7319870356519571,380
