perturbation_type,method,f1,roc_auc,n_samples
similar,KEA,1.0,,189
similar,TransE,1.0,,189
similar,RotatE,1.0,,189
similar,WL Kernel,1.0,,189
similar,AA-KEA,1.0,,189
similar,SNEA-SBERT α=0.0,1.0,,189
similar,SNEA-SBERT α=0.1,1.0,,189
similar,SNEA-SBERT α=0.2,1.0,,189
similar,SNEA-SBERT α=0.3,1.0,,189
similar,SNEA-SBERT α=0.4,1.0,,189
similar,SNEA-SBERT α=0.5,1.0,,189
similar,SNEA-SBERT α=0.6,1.0,,189
similar,SNEA-SBERT α=0.7,1.0,,189
similar,SNEA-SBERT α=0.8,1.0,,189
similar,SNEA-SBERT α=0.9,1.0,,189
similar,SNEA (WL only),1.0,,189
similar,KEA-BERT,1.0,,189
similar,Semantic WL,1.0,,189
dissimilar,KEA,0.0,,191
dissimilar,TransE,0.0,,191
dissimilar,RotatE,0.0,,191
dissimilar,WL Kernel,0.0,,191
dissimilar,AA-KEA,0.0,,191
dissimilar,SNEA-SBERT α=0.0,0.0,,191
dissimilar,SNEA-SBERT α=0.1,0.0,,191
dissimilar,SNEA-SBERT α=0.2,0.0,,191
dissimilar,SNEA-SBERT α=0.3,0.0,,191
dissimilar,SNEA-SBERT α=0.4,0.0,,191
dissimilar,SNEA-SBERT α=0.5,0.0,,191
dissimilar,SNEA-SBERT α=0.6,0.0,,191
dissimilar,SNEA-SBERT α=0.7,0.0,,191
dissimilar,SNEA-SBERT α=0.8,0.0,,191
dissimilar,SNEA-SBERT α=0.9,0.0,,191
dissimilar,SNEA (WL only),0.0,,191
dissimilar,KEA-BERT,0.0,,191
dissimilar,Semantic WL,0.0,,191
