method,col,threshold,accuracy,precision,recall,f1,roc_auc,n
KEA-BERT,kea_bert_similarity,0.99,0.8813131313131313,0.8089430894308943,1.0,0.8943820224719101,0.8854296865035839,396
SNEA-SBERT α=0.1,snea_bert_alpha_0.1,0.99,0.8560606060606061,0.7795275590551181,0.9949748743718593,0.8741721854304636,0.8936050812437824,396
SNEA-SBERT α=0.2,snea_bert_alpha_0.2,0.99,0.8535353535353535,0.7831325301204819,0.9798994974874372,0.8705357142857143,0.8932989822207484,396
SNEA-SBERT α=0.3,snea_bert_alpha_0.3,0.98,0.851010101010101,0.7734375,0.9949748743718593,0.8703296703296703,0.8930949162053925,396
SNEA-SBERT α=0.5,snea_bert_alpha_0.5,0.97,0.851010101010101,0.7734375,0.9949748743718593,0.8703296703296703,0.892916358441956,396
TransE,transe_similarity,0.99,0.851010101010101,0.7845528455284553,0.9698492462311558,0.8674157303370786,0.8537356834936102,396
SNEA-SBERT α=0.4,snea_bert_alpha_0.4,0.98,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.892916358441956,396
SNEA-SBERT α=0.8,snea_bert_alpha_0.8,0.97,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8927122924266,396
SNEA (WL only),snea_bert_alpha_1.0_SNEA_alone,0.96,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8540545366426039,396
AA-KEA,aa_kea_similarity,0.96,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8540545366426039,396
SNEA-SBERT α=0.9,snea_bert_alpha_0.9,0.97,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8926867841746805,396
SNEA-SBERT α=0.6,snea_bert_alpha_0.6,0.98,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8927888171823585,396
SNEA-SBERT α=0.7,snea_bert_alpha_0.7,0.97,0.8484848484848485,0.7768924302788844,0.9798994974874372,0.8666666666666667,0.8927378006785195,396
KEA,kea_similarity,0.96,0.8434343434343434,0.7665369649805448,0.9899497487437185,0.8640350877192983,0.84513940259674,396
RotatE,rotate_similarity,0.99,0.8434343434343434,0.7729083665338645,0.9748743718592965,0.8622222222222222,0.8718975588602913,396
WL Kernel,wl_kernel_similarity,0.96,0.8383838383838383,0.7800829875518672,0.9447236180904522,0.8545454545454545,0.8532510267071397,396
Semantic WL,semantic_wl_similarity,0.99,0.7904040404040404,0.7101449275362319,0.9849246231155779,0.8252631578947368,0.8956712496492616,396
SNEA-SBERT α=0.0,snea_bert_alpha_0.0,0.99,0.7828282828282829,0.6982456140350877,1.0,0.8223140495867769,0.8950845598551131,396
