question,Graph1,Graph2
When are stronger corticosteroids used to treat psoriasis?,"[['Stronger Corticosteroids', 'treats', 'Severe Psoriasis'], ['Stronger Corticosteroids', 'treats', 'Psoriasis on Thicker Skin'], ['Thicker Skin', 'includes', 'Palms'], ['Thicker Skin', 'includes', 'Soles of Feet']]","[['Stronger Corticosteroids', 'used for', 'Severe Psoriasis'], ['Stronger Corticosteroids', 'used for', 'Psoriasis on Thicker Skin'], ['Thicker Skin', 'includes', 'Palms'], ['Thicker Skin', 'includes', 'Soles of Feet'], ['Doctor', 'considers factors for prescribing', 'Corticosteroid'], ['Factors for Prescribing Corticosteroid', 'includes', 'Patient Age'], ['Factors for Prescribing Corticosteroid', 'includes', 'Disease Severity'], ['Factors for Prescribing Corticosteroid', 'includes', 'Disease Location'], ['Factors for Prescribing Corticosteroid', 'includes', 'Potential Side Effects'], ['Following Instructions', 'minimizes', 'Risks'], ['Following Instructions', 'improves', 'Treatment Results'], ['Stronger Corticosteroids', 'can cause', 'Skin Thinning'], ['Stronger Corticosteroids', 'can cause', 'Skin Coloring Changes'], ['Stronger Corticosteroids', 'can cause', 'Increased Hair Growth'], ['Stronger Corticosteroids', 'can cause', 'Infections'], ['Weaker Corticosteroid', 'prescribed for', 'Sensitive Areas'], ['Weaker Corticosteroid', 'prescribed for', 'Long-term Use'], ['Weaker Corticosteroid', 'minimizes', 'Risks']]"
What do I need to know about the plague?,"[['Plague', 'is a', 'serious disease'], ['Plague', 'outcome if untreated', 'fatal'], ['Plague', 'caused by', 'Yersinia pestis bacteria'], ['Plague', 'has type', 'Bubonic Plague'], ['Plague', 'has type', 'Pneumonic Plague'], ['Plague', 'has type', 'Septicemic Plague'], ['Pneumonic Plague', 'is the', 'most dangerous type of Plague'], ['Pneumonic Plague', 'is the', 'rarest type of Plague'], ['Protection from Pneumonic Plague', 'required when', 'near someone with Pneumonic Plague'], ['Protection from Pneumonic Plague', 'method', 'wear tight-fitting disposable surgical mask'], ['Tight-fitting disposable surgical mask', 'protects from', 'breathing in bacteria']]","[['Plague', 'also known as', 'Black Death'], ['Plague', 'is a', 'bacterial disease'], ['Plague', 'caused by', 'Yersinia pestis'], ['Plague', 'transmitted by', 'fleas'], ['Plague', 'transmitted by', 'infected animals'], ['Plague', 'transmitted by', 'infected people'], ['Plague', 'has type', 'Bubonic Plague'], ['Plague', 'has type', 'Septicemic Plague'], ['Plague', 'has type', 'Pneumonic Plague'], ['Bubonic Plague', 'is the', 'most common type'], ['Bubonic Plague', 'causes', 'painful, swollen lymph nodes'], ['Septicemic Plague', 'is a', 'more dangerous type'], ['Septicemic Plague', 'affects', 'blood'], ['Septicemic Plague', 'causes', 'potential organ failure'], ['Pneumonic Plague', 'is the', 'rarest type'], ['Pneumonic Plague', 'is the', 'deadliest type'], ['Pneumonic Plague', 'spreads through', 'air'], ['Pneumonic Plague', 'spreads when', 'person coughs'], ['Risk of contracting Plague', 'is', 'low'], ['Plague', 'more common in', 'Africa'], ['Plague', 'more common in', 'Asia'], ['Plague', 'more common in', 'South America'], ['Plague', 'more common among', 'people who work with animals'], ['Plague', 'more common among', 'hikers'], ['Plague', 'more common among', 'campers'], ['Plague', 'more common among', 'hunters'], ['Plague symptoms', 'include', 'fever'], ['Plague symptoms', 'include', 'chills'], ['Plague symptoms', 'include', 'headaches'], ['Plague symptoms', 'include', 'swollen lymph nodes'], ['Plague symptoms', 'include', 'bleeding under the skin']]"
What are the symptoms of a normal period?,"[['Normal Period', 'has_symptom', 'Tender Breasts'], ['Normal Period', 'has_symptom', 'Bloating'], ['Normal Period', 'has_symptom', 'Mood Swings']]","[['Normal Period', 'involves_process', 'shedding of Uterine Lining'], ['shedding of Uterine Lining', 'results_in', 'Blood Flow'], ['Blood Flow', 'originates_from', 'Vagina'], ['Normal Period', 'has_symptom', 'Cramping'], ['Normal Period', 'has_symptom', 'Tender Breasts'], ['Normal Period', 'has_symptom', 'Bloating'], ['Normal Period', 'has_symptom', 'Mood Swings'], ['Normal Period', 'has_symptom', 'Acne'], ['Normal Period', 'has_symptom', 'Sleep Issues'], ['Period Length', 'varies_by', 'Woman'], ['Period Duration', 'varies_by', 'Woman'], ['Menstrual Cycle', 'average_range', '21 to 45 days'], ['Hormonal Factors', 'impacts', 'Period Timing'], ['Hormonal Factors', 'impacts', 'Period Heaviness'], ['Contraceptives', 'impacts', 'Period Timing'], ['Contraceptives', 'impacts', 'Period Heaviness']]"
How can a white board help me stay organized?,"[['White board', 'used for', 'staying organized'], ['White board', 'placed in', 'area of frequent presence'], ['Area of frequent presence', 'example', 'fridge'], ['White board', 'allows writing', 'notes'], ['White board', 'allows writing', 'to-do lists'], ['Notes', 'help track', 'tasks'], ['To-do lists', 'help track', 'tasks']]","[['White board', 'is', 'effective tool'], ['Effective tool', 'for', 'staying organized'], ['White board', 'enables', 'writing notes'], ['White board', 'enables', 'displaying notes'], ['White board', 'enables', 'writing to-do lists'], ['White board', 'enables', 'displaying to-do lists'], ['Notes and to-do lists', 'located in', 'prominent place'], ['Prominent place', 'provides', 'easy visibility'], ['Prominent place', 'provides', 'easy access'], ['White board use', 'improves memory of', 'important information'], ['White board use', 'improves memory of', 'deadlines'], ['White board use', 'improves memory of', 'tasks'], ['White board use', 'reduces risk of', 'forgetting'], ['White board use', 'reduces risk of', 'overlapping commitments'], ['White board', 'supports', 'erasing information'], ['White board', 'supports', 'updating information'], ['Erasing and updating', 'maintains', 'current schedule reflection'], ['Erasing and updating', 'maintains', 'accurate schedule reflection'], ['Erasing and updating', 'maintains', 'current obligations reflection'], ['Erasing and updating', 'maintains', 'accurate obligations reflection']]"
What is recovery like for an ankle sprain or fracture?,"[['Ankle sprain', 'difficult to distinguish from', 'Ankle fracture'], ['Most ankle sprains', 'healing process', 'heals naturally'], ['Pain', 'condition for', 'subsiding'], ['Swelling', 'condition for', 'subsiding'], ['Range of motion exercises', 'should begin after', 'Pain subsides'], ['Range of motion exercises', 'should begin after', 'Swelling subsides'], ['Range of motion exercises', 'restores', 'Ankle mobility']]","[['Ankle injury', 'can be', 'Ankle sprain'], ['Ankle injury', 'can be', 'Ankle fracture'], ['Recovery from ankle injury', 'involves', 'RICE method'], ['RICE method', 'includes', 'Rest'], ['RICE method', 'includes', 'Icing'], ['RICE method', 'includes', 'Compression'], ['RICE method', 'includes', 'Elevation'], ['Ankle sprain healing', 'differs from', 'Ankle fracture healing'], ['Ankle sprain', 'healing time', 'days to several weeks'], ['Ankle sprain healing', 'may involve', 'Anti-inflammatory medications'], ['Ankle sprain healing', 'may involve', 'Rehabilitation exercises'], ['Rehabilitation exercises for sprain', 'include', 'Range of motion exercises'], ['Rehabilitation exercises for sprain', 'include', 'Strengthening exercises'], ['Rehabilitation exercises for sprain', 'include', 'Balance exercises'], ['Ankle fracture', 'requires', 'Medical intervention'], ['Medical intervention for fracture', 'includes', 'Immobilization'], ['Immobilization', 'method', 'Crutches'], ['Immobilization', 'method', 'Cast'], ['Medical intervention for fracture', 'includes', 'Alignment of broken bones'], ['Medical intervention for fracture', 'includes', 'Surgery (in severe cases)'], ['Ankle fracture', 'recovery time', '6 weeks to several months'], ['Ankle fracture rehabilitation', 'consists of', 'Basic home exercise program'], ['Doctor', 'should be consulted for', 'Exact injury determination'], ['Doctor', 'provides', 'Appropriate treatment'], ['Doctor', 'provides', 'Advice']]"
What are the symptoms of depression in older adults?,"[['Older Adults', 'may experience', 'Depression'], ['Depression in Older Adults', 'may manifest as', 'Fatigue'], ['Depression in Older Adults', 'may manifest as', 'Sleep Problems'], ['Depression in Older Adults', 'may manifest as', 'Irritability'], ['Depression in Older Adults', 'may manifest as', 'Confusion'], ['Depression in Older Adults', 'may manifest as', 'Difficulty Concentrating'], ['Depression in Older Adults', 'may manifest as', 'Loss of Interest in Activities'], ['Depression in Older Adults', 'may manifest as', 'Slowed Movements'], ['Depression in Older Adults', 'may manifest as', 'Weight Changes'], ['Depression in Older Adults', 'may manifest as', 'Appetite Changes'], ['Depression in Older Adults', 'may manifest as', 'Feelings of Hopelessness'], ['Depression in Older Adults', 'may manifest as', 'Feelings of Worthlessness'], ['Depression in Older Adults', 'may manifest as', 'Feelings of Guilt'], ['Depression in Older Adults', 'may manifest as', 'Aches and Pains'], ['Depression in Older Adults', 'may manifest as', 'Suicidal Thoughts'], ['Depression in Older Adults', 'may occur without', 'Sad or Empty Feelings'], ['Depression', 'can occur after', 'Death of a Spouse']]","[['Depression in Older Adults', 'manifests differently than', 'Depression in Younger Adults'], ['Depression in Older Adults', 'symptoms include', 'Fatigue'], ['Depression in Older Adults', 'symptoms include', 'Trouble Sleeping'], ['Depression in Older Adults', 'symptoms include', 'Grumpiness'], ['Depression in Older Adults', 'symptoms include', 'Irritability'], ['Depression in Older Adults', 'symptoms include', 'Confusion'], ['Depression in Older Adults', 'symptoms include', 'Difficulty Paying Attention'], ['Depression in Older Adults', 'symptoms include', 'Loss of Enjoyment in Activities'], ['Depression in Older Adults', 'symptoms include', 'Moving More Slowly'], ['Depression in Older Adults', 'symptoms include', 'Change in Weight'], ['Depression in Older Adults', 'symptoms include', 'Change in Appetite'], ['Depression in Older Adults', 'symptoms include', 'Hopelessness'], ['Depression in Older Adults', 'symptoms include', 'Worthlessness'], ['Depression in Older Adults', 'symptoms include', 'Guilt'], ['Depression in Older Adults', 'symptoms include', 'Suicidal Thoughts'], ['Depression in Older Adults', 'symptoms may include', 'Lack of Sad or Empty Feelings'], ['Depression', 'is not a normal part of', 'Aging'], ['Proper Treatment for Depression', 'can significantly improve', 'Overall Health'], ['Proper Treatment for Depression', 'can significantly improve', 'Quality of Life'], ['Risk Factors for Depression in Older Adults', 'include', 'Chronic Illness'], ['Risk Factors for Depression in Older Adults', 'include', 'Being a Woman'], ['Risk Factors for Depression in Older Adults', 'include', 'Death of a Spouse'], ['Risk Factors for Depression in Older Adults', 'include', 'Dependence on In-Home Health Care'], ['Risk Factors for Depression in Older Adults', 'include', 'Dependence on Hospital Care'], ['Treatment Options for Depression', 'include', 'Medication'], ['Treatment Options for Depression', 'include', 'Psychotherapy'], ['Treatment Options for Depression', 'include', 'Electroconvulsive Therapy'], ['Treatment Options for Depression', 'include', 'Healthy Lifestyle Changes'], ['Healthy Lifestyle Changes', 'include', 'Proper Nutrition'], ['Healthy Lifestyle Changes', 'include', 'Regular Exercise'], ['Healthy Lifestyle Changes', 'include', 'Stress Management Techniques']]"
What's the treatment for joints that bleed because of hemophilia?,"[['Treatment for joint bleeding in hemophilia', 'includes', 'treating bleeding joints'], ['Treatment for joint bleeding in hemophilia', 'includes', 'monitoring physical activities'], ['Treatment for joint bleeding in hemophilia', 'includes', 'resting affected joint'], ['Treatment for joint bleeding in hemophilia', 'includes', 'icing affected joint'], ['Treatment for joint bleeding in hemophilia', 'includes', 'physical therapy']]","[['Treatment for joint bleeding in hemophilia', 'involves', 'administering clotting factors'], ['administering clotting factors', 'purpose', 'stop bleeding'], ['administering clotting factors', 'purpose', 'prevent further bleeding'], ['administering clotting factors', 'method', 'intravenous infusions'], ['administering clotting factors', 'method', 'weekly subcutaneous injections'], ['weekly subcutaneous injections', 'uses medication', 'emicizumab-kxwh'], ['weekly subcutaneous injections', 'uses medication', 'Adynovate'], ['weekly subcutaneous injections', 'uses medication', 'Idelvion'], ['medication choice', 'depends on', 'type of hemophilia'], ['medication choice', 'depends on', 'severity of hemophilia'], ['Rest', 'helps manage', 'pain'], ['Rest', 'helps manage', 'swelling'], ['Rest', 'helps regain', 'joint mobility'], ['Rest', 'helps regain', 'joint strength'], ['Icing', 'helps manage', 'pain'], ['Icing', 'helps manage', 'swelling'], ['Icing', 'helps regain', 'joint mobility'], ['Icing', 'helps regain', 'joint strength'], ['Physical therapy', 'helps manage', 'pain'], ['Physical therapy', 'helps manage', 'swelling'], ['Physical therapy', 'helps regain', 'joint mobility'], ['Physical therapy', 'helps regain', 'joint strength'], ['Monitoring physical activities', 'necessary to prevent', 'injury'], ['Monitoring physical activities', 'necessary to prevent', 'internal bleeding'], ['Complications from treatment', 'include', 'risk of contracting blood-borne diseases'], ['Complications from treatment', 'include', 'changes to immune system'], ['changes to immune system', 'effect', 'make treatment less effective'], ['Doctor', 'advises on', 'appropriate physical activities'], ['Doctor', 'monitors for', 'adverse reactions']]"
Are there options for glucose monitoring other than a glucometer?,"[['glucose monitoring', 'has option', 'tracking food'], ['glucose monitoring', 'has option', 'using apps'], ['glucose monitoring', 'has option', 'using websites'], ['apps', 'used with', 'online communities'], ['websites', 'used with', 'online communities'], ['glucometer', 'can have', 'voice readout'], ['glucose monitoring', 'has other options besides', 'glucometer']]","[['glucose monitoring', 'has various options beyond', 'traditional glucometer'], ['various options', 'include', 'wireless devices'], ['various options', 'include', 'syncing devices'], ['various options', 'include', 'apps'], ['various options', 'include', 'websites'], ['apps', 'allow', 'sharing data'], ['websites', 'allow', 'sharing data'], ['sharing data', 'with', 'healthcare professionals'], ['sharing data', 'with', 'loved ones'], ['apps', 'allow', 'tracking food intake'], ['websites', 'allow', 'tracking food intake'], ['apps', 'allow', 'tracking exercise'], ['websites', 'allow', 'tracking exercise'], ['apps', 'allow', 'observing long-term glucose trends'], ['websites', 'allow', 'observing long-term glucose trends'], ['wireless devices', 'example', 'i Health Wireless Smart Gluco-Monitoring System'], ['wireless devices', 'example', 'Telcare Wireless Glucose Meter'], ['i Health Wireless Smart Gluco-Monitoring System', 'syncs with', 'smartphones'], ['Telcare Wireless Glucose Meter', 'syncs with', 'smartphones'], ['Ditto', 'connects to', 'existing glucose meters'], ['Ditto', 'sends data', 'wirelessly'], ['apps', 'example', 'Diabetes Pal'], ['apps', 'example', 'd Life Diabetes Companion'], ['apps', 'example', 'My Glucose Buddy'], ['apps', 'example', ""My Net Diary's Diabetes Tracker""], ['Diabetes Pal', 'provides features to track', 'glucose levels'], ['d Life Diabetes Companion', 'provides features to track', 'glucose levels'], ['My Glucose Buddy', 'provides features to track', 'glucose levels'], [""My Net Diary's Diabetes Tracker"", 'provides features to track', 'glucose levels'], ['Diabetes Pal', 'provides features to track', 'food intake'], ['d Life Diabetes Companion', 'provides features to track', 'food intake'], ['My Glucose Buddy', 'provides features to track', 'food intake'], [""My Net Diary's Diabetes Tracker"", 'provides features to track', 'food intake'], ['Diabetes Pal', 'provides features to track', 'exercise'], ['d Life Diabetes Companion', 'provides features to track', 'exercise'], ['My Glucose Buddy', 'provides features to track', 'exercise'], [""My Net Diary's Diabetes Tracker"", 'provides features to track', 'exercise'], ['these options', 'make glucose monitoring', 'simpler'], ['these options', 'make glucose monitoring', 'more effective'], ['these options', 'make glucose monitoring', 'more convenient']]"
What do you need to know about moderate aortic stenosis?,"[['Moderate aortic stenosis', 'is a', 'condition'], ['Moderate aortic stenosis', 'involves', 'aortic valve narrowing'], ['aortic valve narrowing', 'reduces', 'blood flow'], ['blood flow', 'to', 'heart'], ['blood flow', 'to', 'body'], ['Moderate aortic stenosis', 'causes symptom', 'shortness of breath'], ['Moderate aortic stenosis', 'causes symptom', 'chest pain'], ['Moderate aortic stenosis', 'causes symptom', 'chest tightness/pressure'], ['Moderate aortic stenosis', 'causes symptom', 'heart palpitations'], ['Moderate aortic stenosis', 'causes symptom', 'difficulty exercising']]","[['Moderate aortic stenosis', 'is a', 'degree of damage'], ['degree of damage', 'to', 'aortic valve'], ['damage to aortic valve', 'causes', 'aortic valve to narrow significantly'], ['aortic valve narrowing', 'allows', 'some blood to pass'], ['Moderate aortic stenosis', 'symptom', 'chest pain'], ['Moderate aortic stenosis', 'symptom', 'tightness'], ['Moderate aortic stenosis', 'symptom', 'shortness of breath'], ['shortness of breath', 'occurs during', 'physical activity'], ['Moderate aortic stenosis', 'symptom', 'heart palpitations'], ['Moderate aortic stenosis', 'symptom', 'heart murmur'], ['heart murmur', 'detected during', 'examination'], ['Treatment for aortic stenosis', 'depends on', 'symptom severity'], ['Treatment for aortic stenosis', 'depends on', 'test results'], ['Severe aortic stenosis', 'typically requires', 'surgery'], ['surgery', 'repairs', 'aortic valve'], ['surgery', 'replaces', 'aortic valve'], ['individuals without symptoms', 'are', 'monitored closely'], ['Moderate aortic stenosis', 'can progress to', 'severe aortic stenosis'], ['progression to severe aortic stenosis', 'occurs if', 'left untreated']]"
What is the treatment for aching head pain caused by multiple sclerosis?,"[['Aching head pain', 'caused by', 'Multiple Sclerosis (MS)'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Medications'], ['Medications', 'include', 'Antidepressants'], ['Medications', 'include', 'Botox injections'], ['Botox injections', 'relaxes', 'Head muscles'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Hypnosis'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Mindfulness'], ['Treatment for Aching head pain (MS-related)', 'includes', 'Cognitive Behavioral Therapy (CBT)']]","[['Aching head pain', 'caused by', 'Multiple Sclerosis (MS)'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Anti-seizure medications'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Pain relievers'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Muscle relaxants'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Soft neck collar'], ['Soft neck collar', 'holds steady', 'Head'], ['Treatment for Aching head pain (MS-related)', 'may include', 'Botox injections'], ['Botox injections', 'paralyzes', 'Muscle'], ['Botox injections', 'paralyzes', 'Nerve'], ['Over-the-counter pain relievers (OTC)', 'can help', 'Aching head pain'], ['Over-the-counter pain relievers (OTC)', 'include', 'Ibuprofen'], ['Over-the-counter pain relievers (OTC)', 'include', 'Aspirin'], ['Consultation with Headache specialist', 'recommended for', 'Aching head pain'], ['Exploring alternative methods', 'recommended for', 'Aching head pain'], ['Alternative methods', 'include', 'Hypnosis'], ['Alternative methods', 'include', 'Mindfulness'], ['Alternative methods', 'include', 'Cognitive Behavioral Therapy (CBT)'], ['Social support from Loved ones', 'important for managing', 'Pain'], ['Social support from Loved ones', 'important for managing', 'Effects of MS']]"
