row_id,question,gold_answer,gold_kg,llm_answer,llm_kg,context,context_kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Is naturopathy as effective as conventional therapy for treatment of menopausal symptoms?,Naturopathy appears to be an effective alternative for relief of specific menopausal symptoms compared to conventional therapy.,"[['Naturopathy', 'is_alternative_to', 'Conventional_therapy'], ['Naturopathy', 'effective_for', 'Relief_of_menopausal_symptoms'], ['Conventional_therapy', 'used_for', 'Conventional_therapy_for_menopausal_symptoms']]",No published studies have documented the effectiveness of naturopathy for treatment of menopausal symptoms compared to women receiving conventional therapy in the clinical setting.,"[['Naturopathy', 'not_documented_effectiveness', 'Published_studies'], ['Published_studies', 'documented_effectiveness', 'Conventional_therapy'], ['Naturopathy', 'used_in_clinical_setting', 'Women'], ['Women', 'received', 'Conventional_therapy'], ['Naturopathy', 'used_in_clinical_setting', 'Women'], ['Women', 'received', 'Naturopathy']]","Although the use of alternative medicine in the United States is increasing, no published studies have documented the effectiveness of naturopathy for treatment of menopausal symptoms compared to women receiving conventional therapy in the clinical setting. To compare naturopathic therapy with conventional medical therapy for treatment of selected menopausal symptoms. A retrospective cohort study, using abstracted data from medical charts. One natural medicine and six conventional medical clinics at Community Health Centers of King County, Washington, from November 1, 1996, through July 31, 1998. Women aged 40 years of age or more with a diagnosis of menopausal symptoms documented by a naturopathic or conventional physician. Improvement in selected menopausal symptoms. In univariate analyses, patients treated with naturopathy for menopausal symptoms reported higher monthly incomes ($1848.00 versus $853.60), were less likely to be smokers (11.4% versus 41.9%), exercised more frequently, and reported higher frequencies of decreased energy (41.8% versus 24.4%), insomnia (57.0% versus 33.1%), and hot flashes (69.6% versus 55.6%) at baseline than those who received conventional treatment. In multivariate analyses, patients treated with naturopathy were approximately seven times more likely than conventionally treated patients to report improvement for insomnia (odds ratio [OR], 6.77; 95% confidence interval [CI], 1.71, 26.63) and decreased energy (OR, 6.55; 95% CI, 0.96, 44.74). Naturopathy patients reported improvement for anxiety (OR, 1.27; 95% CI, 0.63, 2.56), hot flashes (OR, 1.40; 95% CI, 0.68, 2.88), menstrual changes (OR, 0.98; 95% CI, 0.43, 2.24), and vaginal dryness (OR, 0.91; 95% CI, 0.21, 3.96) about as frequently as patients who were treated conventionally.","[['Research_study', 'conducted_at', 'Community_Health_Centers_of_King_County'], ['Research_study', 'used_data_from', 'Medical_charts'], ['Women', 'aged', '40_or_more'], ['Women', 'had_diagnosis_of', 'Menopausal_symptoms'], ['Naturopathy', 'used_for_treatment_of', 'Menopausal_symptoms'], ['Conventional_medicine', 'used_for_treatment_of', 'Menopausal_symptoms'], ['Patients_treated_with_Naturopathy', 'reported_higher_monthly_incomes', 'Dollars']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Can randomised trials rely on existing electronic data?,"Routine data have the potential to support health technology assessment by RCTs. The cost of data collection and analysis is likely to fall, although further work is required to improve the validity of routine data, particularly in central returns. Better knowledge of the capability of local systems and access to the data held on them is also essential. Routinely captured clinical data have real potential to measure patient outcomes, particularly if the detail and precision of the data could be improved.","[['Routine data', 'supports', 'health technology assessment'], ['RCTs', 'use', 'Routine data']]","Generally, two-thirds of the research questions posed by health technology assessment through RCTs could be answered using routinely collected data. Where these questions required analysis of NHS resource use, data could usually be identified. Clinical effectiveness could also be judged, using proxy measures for quality of life, provided clinical symptoms and signs were collected in sufficient detail.",[],"To estimate the feasibility, utility and resource implications of electronically captured routine data for health technology assessment by randomised controlled trials (RCTs), and to recommend how routinely collected data could be made more effective for this purpose. Four health technology assessments that involved patients under care at five district general hospitals in the UK using four conditions from distinct classical specialties: inflammatory bowel disease, obstructive sleep apnoea, female urinary incontinence, and total knee replacement. Patient-identifiable, electronically stored routine data were sought from the administration and clinical database to provide the routine data. Four RCTs were replicated using routine data in place of the data already collected for the specific purpose of the assessments. This was done by modelling the research process from conception to final writing up and substituting routine for designed data activities at appropriate points. This allowed a direct comparison to be made of the costs and outcomes of the two approaches to health technology assessment. The trial designs were a two-centre randomised trial of outpatient follow-up; a single-centre randomised trial of two investigation techniques; a three-centre randomised trial of two surgical operations; and a single-centre randomised trial of perioperative anaesthetic intervention. Generally two-thirds of the research questions posed by health technology assessment through RCTs could be answered using routinely collected data. Where these questions required analysis of NHS resource use, data could usually be identified. Clinical effectiveness could also be judged, using proxy measures for quality of life, provided clinical symptoms and signs were collected in sufficient detail. Patient and professional preferences could not be identified from routine data but could be collected routinely by adapting existing instruments. Routine data were found potentially to be cheaper to extract and analyse than designed data, and they also facilitate recruitment as well as have the potential to identify patient outcomes captured in remote systems that may be missed in designed data collection. The study confirmed previous evidence that the validity of routinely collected data is suspect, particularly in systems that are not under clinical and professional control. Potential difficulties were also found in identifying, accessing and extracting data, as well as in the lack of uniformity in data structures, coding systems and definitions.",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Is laparoscopic radical prostatectomy better than traditional retropubic radical prostatectomy?,The results of our non-randomized study show that up to now laparoscopic radical prostatectomy does not provide significant advantages in terms of peri-operative morbidity compared with the traditional retropubic approach.,"[['Our study', 'shows', 'no significant advantages'], ['laparoscopic radical prostatectomy', 'does not provide', 'significant advantages']]",The text does not provide evidence to suggest that laparoscopic radical prostatectomy is better than traditional retropubic radical prostatectomy.,"[['Text 1', 'does not provide', 'evidence'], ['laparoscopic radical prostatectomy', 'is not better than', 'traditional retropubic radical prostatectomy']]","To compare morbidity in two groups of patients who underwent retropubic or laparoscopic radical prostatectomy in the same period. The clinical and pathological data obtained in 50 consecutive patients who underwent retropubic radical prostatectomy (RRP) from January 2001 to December 2001 were compared to those obtained in 71 consecutive patients who were treated in the same year by extraperitoneal laparoscopic radical prostatectomy (LRP). The two groups were comparable in terms of mean pre-operative PSA and biopsy Gleason score. The peri-operative data included operative time, intra-operative and post-operative transfusion rates, complication rates, hospitalization length, and duration of catheterization. The following pathological parameters were considered: Gleason score, pathological stage, and positive surgical margin rate. A comparative evaluation of continence recovery (no pads and any leakage) was made only in patients with follow-up longer than 12 months. The two groups were comparable in terms of pathological stage and definitive Gleason score. Operating times were significantly shorter in RRP (p<0.0001). LRP patients showed higher autologous (p<0.001) and eterologous transfusion (p=0.03). No significant difference was observed in terms of complication rates (p=0.07). The rectal injury rate was 2.8% in the laparoscopic group. The mean post-operative hospital stay was 10.2+/-2 days in the surgery group and 7.2+/-3.4 days in the laparoscopy group (p<0.001). Catheterization time was 8.4+/-0.9 days in the surgery group and 8+/-2.8 days in the laparoscopy group (p=0.27). After 12 months, complete continence was achieved in 64% of RRP and 40% of LRP patients, respectively (p=0.29).","[['Study', 'compares', 'morbidity'], ['retropubic radical prostatectomy', 'and', 'laparoscopic radical prostatectomy'], ['50 consecutive patients', 'underwent', 'retropubic radical prostatectomy'], ['71 consecutive patients', 'underwent', 'laparoscopic radical prostatectomy'], ['January 2001 to December 2001', 'period', 'for both groups'], ['operative time', 'was significantly shorter', 'in retropubic radical prostatectomy'], ['autologous transfusion rate', 'was higher', 'in laparoscopic radical prostatectomy'], ['eterologous transfusion rate', 'was higher', 'in laparoscopic radical prostatectomy'], ['rectal injury rate', 'was 2.8%', 'in laparoscopic group'], ['mean post-operative hospital stay', 'was shorter', 'in laparoscopic group'], ['catheterization time', 'was similar', 'in both groups'], ['complete continence was achieved', 'in 64%', 'of retropubic radical prostatectomy patients'], ['complete continence was achieved', 'in 40%', 'of laparoscopic radical prostatectomy patients']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Does bacterial gastroenteritis predispose people to functional gastrointestinal disorders?,"Symptoms consistent with IBS and functional diarrhea occur more frequently in people after bacterial gastroenteritis compared with controls, even after careful exclusion of people with pre-existing FGIDs. The frequency is similar at 3 and 6 months. Our findings support the existence of postinfectious IBS and give an accurate estimate of its frequency.","[['IBS', 'is_a', 'Functional_Gastrointestinal_Disorder'], ['Functional_Gastrointestinal_Disorder', 'has_subtypes', 'IBS, functional_dyspepsia, functional_diarrhea'], ['IBS', 'occurs_after', 'bacterial_gastroenteritis'], ['bacterial_gastroenteritis', 'causes', 'IBS'], ['IBS', 'frequency', 'similar_at_3_and_6_months'], ['IBS', 'frequency_after_bacterial_gastroenteritis', 'higher_than_controls'], ['controls', 'does_not_have', 'IBS']]","Yes, bacterial gastroenteritis predisposes people to functional gastrointestinal disorders, particularly irritable bowel syndrome (IBS).","[['IBS', 'is_a', 'Functional_Gastrointestinal_Disorder'], ['Functional_Gastrointestinal_Disorder', 'has_subtypes', 'IBS, functional_dyspepsia, functional_diarrhea'], ['IBS', 'predisposed_by', 'bacterial_gastroenteritis'], ['bacterial_gastroenteritis', 'causes', 'IBS'], ['IBS', 'frequency_after_bacterial_gastroenteritis', 'higher_than_controls'], ['controls', 'does_not_have', 'IBS']]","Irritable bowel syndrome (IBS) might develop after gastroenteritis. Most previous studies of this relationship have been uncontrolled, and little is known regarding other functional gastrointestinal disorders (FGIDs) after gastroenteritis. The primary aim of this study was to determine the frequency of IBS, functional dyspepsia, or functional diarrhea 6 months after bacterial gastroenteritis. This was a prospective, community-based, case-control study. Cases had proven bacterial gastroenteritis, and controls were community-based. FGIDs were diagnosed with the use of self-completed Rome II modular questionnaires administered at baseline, 3, and 6 months. Subjects with prior FGIDs were excluded. The primary endpoint was the presence of one of the three specific FGIDs at 6 months. A total of 500 cases and 705 controls were identified. Of the 500 cases, 265 (53%) consented, but only 128 cases and 219 community controls who consented were eligible. At 6 months, 108 cases and 206 controls returned the questionnaire. FGIDs were diagnosed in significantly more cases (n = 27, 25%) than controls (n = 6, 2.9%) (OR = 11.11, 95% CI = 4.42-27.92). IBS was diagnosed in 18 cases (16.7%) and four controls (1.9%) (OR = 10.1, 95% CI = 3.32-30.69); functional diarrhea in six cases (5.6%) and no controls. Functional dyspepsia was uncommon in both cases and controls. Similar findings were found at 3 months, with 29% of cases and 2.9% of controls having an FGID.","[['IBS', 'is_a', 'Functional_Gastrointestinal_Disorder'], ['Functional_Gastrointestinal_Disorder', 'has_subtypes', 'IBS, functional_dyspepsia, functional_diarrhea'], ['IBS', 'develops_after', 'bacterial_gastroenteritis'], ['bacterial_gastroenteritis', 'causes', 'IBS'], ['IBS', 'frequency_at_3_months', '29%'], ['IBS', 'frequency_at_6_months', '25%'], ['controls', 'frequency_at_3_months', '2.9%'], ['controls', 'frequency_at_6_months', '2.9%'], ['IBS', 'diagnosed_in_cases', '18'], ['IBS', 'diagnosed_in_controls', '0'], ['functional_diarrhea', 'diagnosed_in_cases', '6'], ['functional_diarrhea', 'diagnosed_in_controls', '0'], ['functional_dyspepsia', 'diagnosed_in_cases', '0'], ['functional_dyspepsia', 'diagnosed_in_controls', '0'], ['cases', 'number_of_participants', '500'], ['controls', 'number_of_participants', '705'], ['consented_cases', 'number_of_participants', '128'], ['consented_controls', 'number_of_participants', '219'], ['questionnaire_returned_cases', 'number_of_participants', '108'], ['questionnaire_returned_controls', 'number_of_participants', '206'], ['FGIDs_diagnosed_in_cases', 'number', '27'], ['FGIDs_diagnosed_in_controls', 'number', '6'], ['FGIDs_diagnosed_at_3_months', 'number_in_cases', '29%'], ['FGIDs_diagnosed_at_3_months', 'number_in_controls', '2.9%'], ['FGIDs_diagnosed_at_6_months', 'number_in_cases', '25%'], ['FGIDs_diagnosed_at_6_months', 'number_in_controls', '2.9%']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Is early colonoscopy after admission for acute diverticular bleeding needed?,"No significant association is apparent between the timing of colonoscopy after admission and encountering active bleeding or nonbleeding stigmata. Based on these observations, urgent colonoscopy for these patients does not seem advantageous.","[['No urgent colonoscopy', 'recommended for', 'patients with acute colonic diverticular bleeding'], ['Urgent colonoscopy', 'proposed for', 'diagnosis and management of acute colonic diverticular bleeding'], ['Active bleeding or nonbleeding stigmata', 'facilitates', 'diagnosis and endoscopic therapy'], ['Timing of colonoscopy', 'unclear', 'increases diagnostic yield']]","No, early colonoscopy after admission for acute diverticular bleeding is not needed.","[['No urgent colonoscopy', 'recommended for', 'patients with acute colonic diverticular bleeding'], ['Study', 'evaluated', 'association between timing of colonoscopy and diagnostic yield']]","Urgent colonoscopy has been proposed for the diagnosis and management of acute colonic diverticular bleeding. Identification of active bleeding and nonbleeding stigmata facilitates diagnosis and endoscopic therapy, but it is unclear whether urgent colonoscopy after presentation increases the diagnostic yield. This study evaluated the association between timing of colonoscopy and diagnostic yield in patients admitted with acute colonic diverticular bleeding. Patients admitted for hematochezia and receiving a diagnosis of diverticular hemorrhage were identified using the Mayo Clinic GI Bleeding Team and Emergency Room Admissions Databases for the years 1998-2000. Timing of colonoscopy was determined from the time of admission. Logistic regression analysis was used to assess whether the timing of colonoscopy was associated with an endoscopic finding of active bleeding or nonbleeding stigmata (or both). A diagnosis of definitive or presumptive diverticular bleeding was made in 78 patients (39 men and 39 women, mean age 78 yr, range 49-96 yr). Twelve patients (15%) had active bleeding or stigmata. Colonoscopies were performed a mean of 18 +/- 11 h after admission. The association between a definitive diagnosis of acute diverticular bleeding and the timing of colonoscopy was not significant (p>0.46).","[['Mayo Clinic GI Bleeding Team and Emergency Room Admissions Databases', 'used for', 'patient identification'], ['Timing of colonoscopy', 'determined from', 'time of admission'], ['Logistic regression analysis', 'used for', 'assessing association between timing of colonoscopy and endoscopic findings'], ['Definitive diagnosis of acute diverticular bleeding', 'made in', '78 patients']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Does the use of a specialised paediatric retrieval service result in the loss of vital stabilisation skills among referring hospital staff?,Referring hospital staff are performing a greater proportion of initial airway and vascular access procedures undertaken in the stabilisation of sick children retrieved by a specialised paediatric retrieval team. The provision of this service has not resulted in the loss of vital skills at the local hospital.,"[['referring hospital staff', 'perform', 'greater proportion of procedures'], ['specialised paediatric retrieval team', 'launched', 'for critically ill children'], ['initial airway and vascular access procedures', 'performed by', 'referring hospital staff'], ['time period 1', 'starts at', 'October 1993'], ['time period 1', 'ends at', 'September 1994']]","No, the use of a specialised paediatric retrieval service does not necessarily result in the loss of vital stabilisation skills among referring hospital staff. Although the overall intubation rate was similar in the first and second time periods, a significantly greater proportion of retrieved children were intubated by referring hospital staff in the second time period.","[['referring hospital staff', 'intubation rate in time period 1', '83.9%'], ['referring hospital staff', 'intubation rate in time period 2', '79.1%'], ['referring hospital staff', 'intubation rate in time period 1', '61%'], ['referring hospital staff', 'intubation rate in time period 2', '84%'], ['time period 2', 'starts at', 'October 2000'], ['time period 2', 'ends at', 'September 2001']]","To compare the proportion of airway and vascular access procedures performed by referring hospital staff on critically ill children in two discrete time periods, before and after widespread use of a specialised paediatric retrieval service. Transport data were obtained from retrieval logs of all children for whom a paediatric retrieval team was launched in each of two time periods (October 1993 to September 1994; and October 2000 to September 2001). The overall intubation rate was similar in the first and second time periods (83.9% v 79.1%). However, 31/51 (61%) retrieved children were intubated by referring hospital staff in 1993-94, compared to 227/269 (84%) in 2000-01. Referring hospital staff gained central venous access in 11% v 18% and arterial access in 22% v 19% of retrieved children in the first and second time periods respectively. This was in spite of a significant reduction in the proportion of children on whom these procedures were performed.","[['referring hospital staff', 'gain central venous access in time period 1', '11%'], ['referring hospital staff', 'gain central venous access in time period 2', '18%'], ['referring hospital staff', 'gain arterial access in time period 1', '22%'], ['referring hospital staff', 'gain arterial access in time period 2', '19%']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Management of thoracic empyema in childhood: does the pleural thickening matter?,"Results suggest that decortication is not necessary in children to prevent long term problems with pleural thickening, and should be undertaken on the basis of the clinical picture (failure of fever resolution), rather than radiological appearance.","[['Results', 'suggest', 'decortication_not_necessary'], ['decortication_not_necessary', 'in_children', 'prevents_long_term_problems_with_pleural_thickening'], ['decortication_not_necessary', 'based_on', 'clinical_picture'], ['clinical_picture', 'rather_than', 'radiological_appearance']]",The extensive pleural thickening evident on chest x ray examination at the time of discharge completely resolved over a period of 2-16 months. Lung function was measured in 13 children and showed no evidence of restrictive or obstructive deficit.,[],"To determine the clinical course and long term outcome of empyema treated without decortication. Fourteen consecutive admissions to one hospital were studied; radiological resolution and lung function were subsequently followed. The children were aged 2-14 years. All were treated with intravenous antibiotics and chest drain only. All patients had extensive pleural thickening evident on chest x ray examination at the time of discharge, which resolved entirely over a period of 2-16 months. Lung function was measured in 13 children, and showed no evidence of restrictive or obstructive deficit: mean (SD) values as per cent predicted for height were: forced expiratory volume in one second (FEV1) 107.5 (9.6), forced vital capacity (FVC) 95.5 (8.8), total lung capacity (TLC) 98.6 (20.7). Individual children all had values in the normal range (80-120 per cent predicted).","[['FEV1', 'mean_values', '107.5_SD_9.6'], ['FVC', 'mean_values', '95.5_SD_8.8'], ['Total_lung_capacity', 'mean_values', '98.6_SD_20.7']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Does repeated hyperbaric exposure to 4 atmosphere absolute cause hearing impairment?,Pressure applied directly on the inner ear during diving does not disturb cochlear activity.,"[['Direct pressure', 'applied on', 'inner ear'], ['inner ear', 'responsible_for', 'cochlear_activity'], ['inner ear', 'not_affected_by', 'pressure']]","No, repeated hyperbaric exposure to 4 atmosphere absolute does not cause hearing impairment in guinea pigs.","[['Study', 'consisted_of', 'two_groups']]","Direct pressure applied on the inner ear cannot induce hearing loss. Three possible causes have been described in the literature for inner ear permanent lesions during scuba diving: pressure imbalance between the middle ear and the external ear, appearance of microbubbles in the internal ear, and direct effect of pressure on the inner ear. We seek to determine whether this last factor can be involved. We submitted two groups of guinea pigs previously implanted with an electrode in the round window to a protocol of air diving in a hyperbaric chamber. Eardrums of animals in one of the two groups had been perforated beforehand. Twenty dives were practiced over 4 weeks. We chose dive parameters consistent with common sport diving: maximal pressure of 4 atmosphere absolute and duration of 30 minutes. Auditory threshold and cochlear spontaneous activity were recorded at regular intervals. Furthermore, we recorded spontaneous cochlear activity in Heliox 400-m and 600-m dives to determine whether our conclusions hold for ""extreme"" diving. In the group with perforated eardrums, no variation of those parameters were recorded, even in extreme diving. Important variations were noticed in the other group.",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lower urinary tract reconstruction for duplicated renal units with ureterocele. Is excision of the ureterocele with reconstruction of the bladder base necessary?,"Lower urinary tract reconstruction for duplicated renal systems with obstruction of the upper pole can be accomplished safely with decreased morbidity through the extravesical approach without excision of the ureterocele or reconstruction of the bladder base. Moreover, in instances when there is no reflux to the lower pole moiety, upper pole only extravesical ureteroneocystostomy can be performed.","[['Lower urinary tract reconstruction for duplicated renal systems with obstruction of the upper pole', 'can be accomplished safely', 'through the extravesical approach'], ['Extravesical approach', 'without excision of', 'ureterocele'], ['Extravesical approach', 'without reconstruction of', 'bladder base']]",No. Lower urinary tract reconstruction for duplicated renal systems with ureterocele can be successfully performed through an extravesical approach without excision of the ureterocele or reconstruction of the bladder base.,"[['Lower urinary tract reconstruction for duplicated renal systems with ureterocele', 'can be successfully performed', 'through an extravesical approach'], ['Extravesical approach', 'without excision of', 'ureterocele'], ['Extravesical approach', 'without reconstruction of', 'bladder base']]","Current practice in reconstruction of the lower urinary tract for duplicated renal systems with an associated ureterocele is excision of the ureterocele with reconstruction of the bladder and a common sheath ureteroneocystostomy. For a nonfunctioning upper pole treatment is partial nephroureterectomy. We postulate that lower urinary tract reconstruction can be performed successfully through an extravesical approach without excision of the ureterocele or reconstruction of the bladder base. We present our experience with that approach. Between 1996 and 2001, 60 patients presented with the diagnosis of ureterocele and obstruction of the upper pole ureter. Partial nephrectomy was performed in 12 cases of which 4 had reflux to the lower pole moiety. Upper pole only dismembered ureteroneocystostomy was performed in 7 of 15 cases reconstructed using the extravesical approach. Average postoperative stay was 3.7 days. The Foley catheter was removed within 24 to 48 hours. Postoperative ultrasound showed decompression of the obstructed system and the ureterocele. Reflux was corrected in all patients. Flow rate with measurement of post-void residual 6 weeks postoperatively in toilet trained children showed complete bladder emptying.",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Is common sheath extravesical reimplantation an effective technique to correct reflux in duplicated collecting systems?,Common sheath extravesical reimplantation is highly effective in treating VUR. The common sheath extravesical reimplantation for duplicated collecting systems is as effective in nonduplicated systems and is associated with minimal perioperative morbidity.,"[['Common sheath extravesical reimplantation', 'is effective in treating', 'VUR'], ['Common sheath extravesical reimplantation', 'is also effective in', 'nonduplicated systems'], ['Common sheath extravesical reimplantation', 'associated with', 'minimal perioperative morbidity']]","Yes, common sheath extravesical reimplantation is an effective technique to correct reflux in duplicated collecting systems, with an overall success rate of 94.7% and 98.9% at 3 and 12 months, respectively.","[['Common sheath extravesical reimplantation', 'has overall success rate of', '94.7%'], ['Common sheath extravesical reimplantation', 'success rate at 3 months', '94.7%'], ['Common sheath extravesical reimplantation', 'success rate at 12 months', '98.9%']]","We evaluate the outcome vesicoureteral reflux (VUR) in duplicated collecting systems compared to single collecting systems corrected using an extravesical detrusorrhaphy approach. We reviewed the records of 266 patients (422 ureters) treated for VUR using an extravesical approach between 1991 and 2001. Inclusion criteria were primary reflux in single (201 patients, 125 bilateral) or duplicated collecting systems (65, 31 bilateral) in patients not undergoing other concomitant surgery with at least 1 year of postoperative followup. The indication for surgical intervention was unresolved reflux (greater than 4 years) in more than 70% of patients. Postoperative evaluation included a voiding cystourethrogram at 3 months and 12 months if reflux was unresolved at 3 months. Also ultrasound was performed at 6 weeks or earlier if clinically indicated and 12 months. Group 1 (duplicated collecting systems) and group 2 (single collecting systems) were comparable for age, sex distribution and reflux grade distribution. Overall success rate at 3 and 12 months was 94.7% and 98.9% for group 1, and 95.1% and 98.5% for group 2, respectively. The difference in success rate at 3 and 12 months was not statistically significant (p>0.05). Of note in both groups postoperative VUR was contralateral in more than 40% of cases. Postoperative hydronephrosis (Society for Fetal Urology grade 1, 2 or 1 increment in grade from preoperative status) was observed in 5.3% and 7.3% of ureteral units at 6 weeks in groups 1 and 2, respectively (p>0.05). At 12 months less than 1% of ureteral units exhibited low grade residual hydronephrosis. No high grade postoperative hydronephrosis was observed in either group, and there were no intraoperative complications. Postoperative urinary retention occurred in 4.7% and 4% of patients in groups 1 and 2, respectively (p>0.05).","[['Study', 'evaluated outcome of', 'VUR'], ['Study', 'included records of', '266 patients'], ['Study', 'included records of', '422 ureters'], ['Study', 'inclusion criteria', 'primary reflux'], ['Study', 'inclusion criteria', 'not undergoing other concomitant surgery'], ['Study', 'inclusion criteria', 'at least 1 year of postoperative followup'], ['Group 1 (duplicated collecting systems)', 'comparable to', 'Group 2 (single collecting systems)'], ['Group 1 (duplicated collecting systems)', 'success rate at 3 months', '94.7%'], ['Group 1 (duplicated collecting systems)', 'success rate at 12 months', '98.9%'], ['Group 2 (single collecting systems)', 'success rate at 3 months', '95.1%'], ['Group 2 (single collecting systems)', 'success rate at 12 months', '98.5%']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
